league,season,team,spi,win_forecast
Australia: A-League,2022,Melbourne City,35.52957,0.3375
Australia: A-League,2022,Sydney FC,28.50006,0.1728
Australia: A-League,2022,Melbourne Victory,25.46549,0.1332
Australia: A-League,2022,Western Sydney FC,20.62059,0.0633
Australia: A-League,2022,Newcastle Jets,19.26458,0.0607
Australia: A-League,2022,Western United,20.03437,0.06255
Australia: A-League,2022,Adelaide United,18.41462,0.0518
Australia: A-League,2022,Central Coast Mariners,16.78868,0.03275
Australia: A-League,2022,Macarthur FC,15.93901,0.029
Australia: A-League,2022,Brisbane Roar,15.31202,0.0294
Australia: A-League,2022,Wellington Phoenix,13.94355,0.0182
Australia: A-League,2022,Perth Glory,10.46522,0.0088
Australia: A-League,2021,Melbourne City,38.80945,0.34385
Australia: A-League,2021,Sydney FC,29.48159,0.16835
Australia: A-League,2021,Western Sydney FC,24.06985,0.07915
Australia: A-League,2021,Perth Glory,24.88585,0.08235
Australia: A-League,2021,Wellington Phoenix,22.8797,0.0724
Australia: A-League,2021,Adelaide United,21.75236,0.05855
Australia: A-League,2021,Melbourne Victory,19.79082,0.04885
Australia: A-League,2021,Macarthur FC,18.90036,0.0501
Australia: A-League,2021,Brisbane Roar,18.26286,0.0317
Australia: A-League,2021,Central Coast Mariners,16.25772,0.02585
Australia: A-League,2021,Newcastle Jets,16.31538,0.0229
Australia: A-League,2021,Western United,15.10881,0.01595
Australia: A-League,2020,Melbourne City,36.95494,0.2272
Australia: A-League,2020,Sydney FC,34.10868,0.16025
Australia: A-League,2020,Macarthur FC,28.98539,0.10345
Australia: A-League,2020,Perth Glory,29.4987,0.0921
Australia: A-League,2020,Western United,29.35864,0.0841
Australia: A-League,2020,Wellington Phoenix,28.33592,0.0792
Australia: A-League,2020,Newcastle Jets,27.52461,0.0719
Australia: A-League,2020,Adelaide United,26.47505,0.0512
Australia: A-League,2020,Melbourne Victory,26.25613,0.0545
Australia: A-League,2020,Western Sydney FC,25.41769,0.0414
Australia: A-League,2020,Brisbane Roar,22.37631,0.0272
Australia: A-League,2020,Central Coast Mariners,16.6387,0.0075
Australia: A-League,2019,Sydney FC,39.55006,0.235
Australia: A-League,2019,Perth Glory,40.20998,0.21915
Australia: A-League,2019,Melbourne City,38.85608,0.21235
Australia: A-League,2019,Western United,28.90636,0.07765
Australia: A-League,2019,Melbourne Victory,31.68417,0.0841
Australia: A-League,2019,Adelaide United,28.87081,0.06
Australia: A-League,2019,Newcastle Jets,28.38493,0.0522
Australia: A-League,2019,Western Sydney FC,25.27521,0.0343
Australia: A-League,2019,Wellington Phoenix,21.66523,0.0138
Australia: A-League,2019,Brisbane Roar,18.43246,0.009
Australia: A-League,2019,Central Coast Mariners,15.45509,0.00245
Australia: A-League,2018,Melbourne Victory,50.03725,0.296
Australia: A-League,2018,Sydney FC,49.28813,0.2846
Australia: A-League,2018,Melbourne City,42.46845,0.15625
Australia: A-League,2018,Newcastle Jets,36.75871,0.07665
Australia: A-League,2018,Western Sydney FC,32.69369,0.04725
Australia: A-League,2018,Brisbane Roar,31.765,0.04515
Australia: A-League,2018,Perth Glory,32.12952,0.04235
Australia: A-League,2018,Adelaide United,30.84885,0.0386
Australia: A-League,2018,Wellington Phoenix,23.1701,0.00955
Australia: A-League,2018,Central Coast Mariners,19.39905,0.0036
