league,season,team,spi,win_forecast
UEFA Champions League,2022,Bayern Munich,92.96238,0.20965
UEFA Champions League,2022,Manchester City,92.00082,0.1813
UEFA Champions League,2022,Paris Saint-Germain,90.43453,0.13715
UEFA Champions League,2022,Liverpool,88.83062,0.0867
UEFA Champions League,2022,Real Madrid,86.65894,0.06515
UEFA Champions League,2022,Barcelona,85.26939,0.04205
UEFA Champions League,2022,Ajax,84.92229,0.04
UEFA Champions League,2022,Chelsea,83.96959,0.03855
UEFA Champions League,2022,Tottenham Hotspur,81.9343,0.0276
UEFA Champions League,2022,Internazionale,82.34266,0.0218
UEFA Champions League,2022,Atletico Madrid,80.33958,0.02025
UEFA Champions League,2022,FC Porto,80.16989,0.0189
UEFA Champions League,2022,RB Leipzig,80.05163,0.0177
UEFA Champions League,2022,FC Salzburg,79.43959,0.01515
UEFA Champions League,2022,AC Milan,78.65398,0.0131
UEFA Champions League,2022,Borussia Dortmund,78.59402,0.0129
UEFA Champions League,2022,Sporting CP,77.74943,0.0119
UEFA Champions League,2022,Benfica,76.15258,0.0095
UEFA Champions League,2022,Napoli,77.68861,0.00845
UEFA Champions League,2022,Bayer Leverkusen,75.45375,0.00705
UEFA Champions League,2022,Celtic,72.2954,0.0035
UEFA Champions League,2022,Sevilla FC,71.35122,0.0032
UEFA Champions League,2022,Juventus,70.03054,0.0029
UEFA Champions League,2022,Rangers,70.56981,0.00175
UEFA Champions League,2022,Eintracht Frankfurt,66.79454,0.0015
UEFA Champions League,2022,Marseille,68.2166,0.00115
UEFA Champions League,2022,Club Brugge,67.06793,0.00065
UEFA Champions League,2022,Dinamo Zagreb,63.44125,0.0003
UEFA Champions League,2022,FC Copenhagen,58.21737,0.0001
UEFA Champions League,2022,Shakhtar Donetsk,60.46595,0.0001
UEFA Champions League,2022,Viktoria Plzen,55.04043,1e-05
UEFA Champions League,2022,Maccabi Haifa,45.44071,1e-05
UEFA Champions League,2021,Manchester City,92.21156,0.158
UEFA Champions League,2021,Bayern Munich,89.71297,0.10856
UEFA Champions League,2021,Chelsea,89.61424,0.10492
UEFA Champions League,2021,Liverpool,88.73918,0.08532
UEFA Champions League,2021,Barcelona,88.23195,0.07724
UEFA Champions League,2021,Real Madrid,86.40152,0.06268
UEFA Champions League,2021,Manchester United,85.67012,0.05492
UEFA Champions League,2021,Ajax,84.69979,0.04538
UEFA Champions League,2021,RB Leipzig,84.94722,0.03956
UEFA Champions League,2021,Paris Saint-Germain,85.03339,0.03802
UEFA Champions League,2021,Borussia Dortmund,83.69874,0.03664
UEFA Champions League,2021,Atletico Madrid,84.8024,0.03656
UEFA Champions League,2021,Internazionale,83.32294,0.03602
UEFA Champions League,2021,Juventus,80.74581,0.0216
UEFA Champions League,2021,Sevilla FC,80.64136,0.01862
UEFA Champions League,2021,Atalanta,79.49558,0.01464
UEFA Champions League,2021,FC Salzburg,78.24646,0.01278
UEFA Champions League,2021,VfL Wolfsburg,76.60607,0.00862
UEFA Champions League,2021,Benfica,78.20236,0.00814
UEFA Champions League,2021,FC Porto,77.29955,0.007
UEFA Champions League,2021,Villarreal,76.08462,0.0068
UEFA Champions League,2021,AC Milan,76.75005,0.00672
UEFA Champions League,2021,Sporting CP,74.84311,0.00536
UEFA Champions League,2021,Zenit St Petersburg,70.37056,0.00288
UEFA Champions League,2021,Lille,68.27089,0.00122
UEFA Champions League,2021,Shakhtar Donetsk,66.54663,0.0009
UEFA Champions League,2021,Young Boys,63.7816,0.00044
UEFA Champions League,2021,Club Brugge,65.57329,0.00028
UEFA Champions League,2021,Besiktas,59.62844,0.00016
UEFA Champions League,2021,Dynamo Kiev,56.8314,2e-05
UEFA Champions League,2021,Malmo FF,50.78188,1e-05
UEFA Champions League,2021,FC Sheriff Tiraspol,44.65635,1e-05
UEFA Champions League,2020,Bayern Munich,94.32717,0.2054
UEFA Champions League,2020,Manchester City,92.84689,0.16215
UEFA Champions League,2020,Liverpool,91.43829,0.1158
UEFA Champions League,2020,Barcelona,90.92428,0.1061
UEFA Champions League,2020,Paris Saint-Germain,89.80071,0.08475
UEFA Champions League,2020,Real Madrid,89.25736,0.07035
UEFA Champions League,2020,Atletico Madrid,87.47255,0.04135
UEFA Champions League,2020,Borussia Dortmund,84.04462,0.02755
UEFA Champions League,2020,Chelsea,83.65035,0.0263
UEFA Champions League,2020,Internazionale,84.16225,0.02455
UEFA Champions League,2020,Manchester United,83.96362,0.02235
UEFA Champions League,2020,RB Leipzig,84.1317,0.02155
UEFA Champions League,2020,Juventus,82.20989,0.01815
UEFA Champions League,2020,Sevilla FC,80.5095,0.0133
UEFA Champions League,2020,FC Salzburg,80.35422,0.01295
UEFA Champions League,2020,Atalanta,79.96602,0.01125
UEFA Champions League,2020,Zenit St Petersburg,78.74321,0.009
UEFA Champions League,2020,FC Porto,76.53345,0.0061
UEFA Champions League,2020,Ajax,75.1409,0.00405
UEFA Champions League,2020,Borussia Monchengladbach,76.50876,0.0039
UEFA Champions League,2020,Shakhtar Donetsk,75.08735,0.00365
UEFA Champions League,2020,Olympiacos,75.22003,0.0034
UEFA Champions League,2020,Lazio,72.09006,0.00225
UEFA Champions League,2020,Stade Rennes,68.66212,0.001
UEFA Champions League,2020,Dynamo Kiev,67.02046,0.00095
UEFA Champions League,2020,Club Brugge,68.83504,0.00085
UEFA Champions League,2020,Marseille,65.03117,0.0005
UEFA Champions League,2020,FC Krasnodar,64.815,0.00035
UEFA Champions League,2020,FC Midtjylland,57.95033,0.00015
UEFA Champions League,2020,Lokomotiv Moscow,60.63727,1e-05
UEFA Champions League,2020,Ferencvaros,54.14011,1e-05
UEFA Champions League,2020,Istanbul Basaksehir,52.7545,1e-05
UEFA Champions League,2019,Manchester City,94.68367,0.26675
UEFA Champions League,2019,Bayern Munich,93.56255,0.1703
UEFA Champions League,2019,Liverpool,92.14145,0.11565
UEFA Champions League,2019,Barcelona,91.55512,0.10095
UEFA Champions League,2019,Juventus,90.14446,0.07545
