league,season,team,spi,win_forecast
Sweden: Allsvenskan,2022,Malmo FF,46.31268,0.3429
Sweden: Allsvenskan,2022,Hammarby,38.58587,0.12655
Sweden: Allsvenskan,2022,IF Elfsborg,37.4678,0.11815
Sweden: Allsvenskan,2022,AIK,35.54661,0.10535
Sweden: Allsvenskan,2022,Djurgardens IF,34.51248,0.08545
Sweden: Allsvenskan,2022,IFK Goteborg,31.95066,0.056
Sweden: Allsvenskan,2022,IFK Norrkoping,32.7104,0.0582
Sweden: Allsvenskan,2022,BK Hacken,30.31847,0.04195
Sweden: Allsvenskan,2022,Mjallby,26.36618,0.0229
Sweden: Allsvenskan,2022,Kalmar FF,24.49728,0.016
Sweden: Allsvenskan,2022,Varbergs BoIS FC,22.07507,0.0091
Sweden: Allsvenskan,2022,IK Sirius,22.42213,0.00855
Sweden: Allsvenskan,2022,Degerfors IF,18.94147,0.0038
Sweden: Allsvenskan,2022,IFK Värnamo,16.25664,0.00155
Sweden: Allsvenskan,2022,Helsingborgs IF,16.59533,0.00185
Sweden: Allsvenskan,2022,GIF Sundsvall,15.96449,0.0017
Sweden: Allsvenskan,2021,Malmo FF,56.20317,0.6003
Sweden: Allsvenskan,2021,Djurgardens IF,42.10376,0.1307
Sweden: Allsvenskan,2021,IFK Norrkoping,41.21871,0.07425
Sweden: Allsvenskan,2021,BK Hacken,37.92364,0.0457
Sweden: Allsvenskan,2021,Hammarby,37.35874,0.039
Sweden: Allsvenskan,2021,AIK,32.35312,0.02795
Sweden: Allsvenskan,2021,IFK Goteborg,33.86592,0.029
Sweden: Allsvenskan,2021,IF Elfsborg,35.55949,0.0274
Sweden: Allsvenskan,2021,Mjallby,28.15113,0.0082
Sweden: Allsvenskan,2021,Varbergs BoIS FC,25.07567,0.00515
Sweden: Allsvenskan,2021,Orebro SK,26.02642,0.00485
Sweden: Allsvenskan,2021,IK Sirius,23.78614,0.0035
Sweden: Allsvenskan,2021,Halmstads BK,19.46447,0.0016
Sweden: Allsvenskan,2021,Östersunds FK,19.22403,0.00075
Sweden: Allsvenskan,2021,Degerfors IF,19.39363,0.00075
