league,season,team,spi,win_forecast
Brazil: Brasileirão,2022,Flamengo,67.90625,0.30575
Brazil: Brasileirão,2022,Palmeiras,63.96787,0.18895
Brazil: Brasileirão,2022,Atletico Mineiro,63.3974,0.17855
Brazil: Brasileirão,2022,São Paulo,55.05794,0.05235
Brazil: Brasileirão,2022,Corinthians,54.94734,0.05
Brazil: Brasileirão,2022,Bragantino,52.72443,0.03835
Brazil: Brasileirão,2022,Fluminense,52.59651,0.03615
Brazil: Brasileirão,2022,Internacional,52.14756,0.03535
Brazil: Brasileirão,2022,Atlético Paranaense,50.58755,0.02445
Brazil: Brasileirão,2022,América Mineiro,49.25085,0.02075
Brazil: Brasileirão,2022,Santos,48.79988,0.0169
Brazil: Brasileirão,2022,Fortaleza,47.64499,0.01585
Brazil: Brasileirão,2022,Ceará,46.40568,0.0117
Brazil: Brasileirão,2022,Cuiaba,41.65825,0.00405
Brazil: Brasileirão,2022,Juventude,41.45501,0.0044
Brazil: Brasileirão,2022,Atlético Goianiense,41.34436,0.0046
Brazil: Brasileirão,2022,Botafogo,40.47997,0.00405
Brazil: Brasileirão,2022,Coritiba,40.00657,0.0033
Brazil: Brasileirão,2022,Goiás,38.62842,0.0029
Brazil: Brasileirão,2022,Avaí,37.33394,0.0016
Brazil: Brasileirão,2021,Flamengo,74.46875,0.57345
Brazil: Brasileirão,2021,Palmeiras,63.87059,0.0906
Brazil: Brasileirão,2021,Atletico Mineiro,59.85847,0.069
Brazil: Brasileirão,2021,Internacional,57.98714,0.03975
Brazil: Brasileirão,2021,Bragantino,57.10181,0.0399
Brazil: Brasileirão,2021,Fluminense,56.22301,0.03665
Brazil: Brasileirão,2021,Atlético Paranaense,53.17735,0.03615
Brazil: Brasileirão,2021,Grêmio,57.17869,0.0259
Brazil: Brasileirão,2021,São Paulo,55.80998,0.0177
Brazil: Brasileirão,2021,Santos,54.05111,0.0193
Brazil: Brasileirão,2021,Corinthians,52.44966,0.0172
Brazil: Brasileirão,2021,Fortaleza,47.15283,0.01285
Brazil: Brasileirão,2021,Atlético Goianiense,44.39943,0.0072
Brazil: Brasileirão,2021,Bahía,47.21089,0.0055
Brazil: Brasileirão,2021,Ceará,47.20485,0.00615
Brazil: Brasileirão,2021,Sport Recife,41.21226,0.0008
Brazil: Brasileirão,2021,Juventude,39.47588,0.00075
Brazil: Brasileirão,2021,Cuiaba,39.46382,0.00055
Brazil: Brasileirão,2021,América Mineiro,39.30127,0.0005
Brazil: Brasileirão,2021,Chapecoense AF,37.16341,0.0001
Brazil: Brasileirão,2020,Flamengo,73.73261,0.43145
Brazil: Brasileirão,2020,Palmeiras,67.87766,0.184
Brazil: Brasileirão,2020,Grêmio,65.63493,0.14445
Brazil: Brasileirão,2020,Santos,61.01824,0.0622
Brazil: Brasileirão,2020,São Paulo,58.0516,0.03885
Brazil: Brasileirão,2020,Internacional,55.89938,0.02765
Brazil: Brasileirão,2020,Atlético Paranaense,56.10941,0.02605
Brazil: Brasileirão,2020,Corinthians,55.50995,0.02605
Brazil: Brasileirão,2020,Atletico Mineiro,51.72248,0.01325
Brazil: Brasileirão,2020,Fluminense,50.8972,0.0138
Brazil: Brasileirão,2020,Vasco da Gama,50.06027,0.01005
Brazil: Brasileirão,2020,Bahía,48.11722,0.00705
Brazil: Brasileirão,2020,Ceará,46.2942,0.0044
