league,season,team,spi,win_forecast
Germany: 2. Bundesliga,2022,Hamburg SV,48.6604,0.3491
Germany: 2. Bundesliga,2022,Arminia Bielefeld,42.49499,0.1238
Germany: 2. Bundesliga,2022,Fortuna Düsseldorf,36.68611,0.0856
Germany: 2. Bundesliga,2022,FC St. Pauli,36.10461,0.07415
Germany: 2. Bundesliga,2022,SV Darmstadt 98,37.76851,0.0609
Germany: 2. Bundesliga,2022,SpVgg Greuther Fürth,36.33879,0.0584
Germany: 2. Bundesliga,2022,SC Paderborn,34.23505,0.06085
Germany: 2. Bundesliga,2022,1. FC Heidenheim 1846,32.22617,0.04225
Germany: 2. Bundesliga,2022,1. FC Nürnberg,33.24095,0.03045
Germany: 2. Bundesliga,2022,Hannover 96,31.60945,0.022
Germany: 2. Bundesliga,2022,Holstein Kiel,30.11319,0.0223
Germany: 2. Bundesliga,2022,Jahn Regensburg,28.4688,0.0215
Germany: 2. Bundesliga,2022,Karlsruher SC,29.66031,0.0166
Germany: 2. Bundesliga,2022,SV Sandhausen,26.37063,0.0153
Germany: 2. Bundesliga,2022,Hansa Rostock,27.88518,0.0106
Germany: 2. Bundesliga,2022,1. FC Kaiserslautern,20.55803,0.00315
Germany: 2. Bundesliga,2022,Eintracht Braunschweig,20.26903,0.0014
Germany: 2. Bundesliga,2022,1. FC Magdeburg,20.45955,0.00165
Germany: 2. Bundesliga,2021,Schalke 04,50.36235,0.26115
Germany: 2. Bundesliga,2021,Werder Bremen,48.96005,0.2558
Germany: 2. Bundesliga,2021,Hamburg SV,44.97934,0.1536
Germany: 2. Bundesliga,2021,Fortuna Düsseldorf,40.29686,0.0708
Germany: 2. Bundesliga,2021,Karlsruher SC,33.99089,0.0448
Germany: 2. Bundesliga,2021,Jahn Regensburg,32.12742,0.0291
Germany: 2. Bundesliga,2021,1. FC Heidenheim 1846,33.27253,0.0263
Germany: 2. Bundesliga,2021,Holstein Kiel,36.39518,0.0233
Germany: 2. Bundesliga,2021,FC St. Pauli,32.94422,0.0244
Germany: 2. Bundesliga,2021,SC Paderborn,34.36332,0.02295
Germany: 2. Bundesliga,2021,Hannover 96,34.6467,0.01945
Germany: 2. Bundesliga,2021,1. FC Nürnberg,32.70248,0.01725
Germany: 2. Bundesliga,2021,SV Darmstadt 98,33.89452,0.01425
Germany: 2. Bundesliga,2021,Dynamo Dresden,28.8282,0.01225
Germany: 2. Bundesliga,2021,Hansa Rostock,29.03443,0.01065
Germany: 2. Bundesliga,2021,SV Sandhausen,30.00625,0.00635
Germany: 2. Bundesliga,2021,FC Ingolstadt 04,28.32721,0.0045
Germany: 2. Bundesliga,2021,Erzgebirge Aue,24.93673,0.0031
Germany: 2. Bundesliga,2020,Fortuna Düsseldorf,51.51206,0.29965
Germany: 2. Bundesliga,2020,Hamburg SV,47.21667,0.186
Germany: 2. Bundesliga,2020,Hannover 96,45.41978,0.14745
Germany: 2. Bundesliga,2020,SC Paderborn,39.84542,0.06925
Germany: 2. Bundesliga,2020,1. FC Nürnberg,36.96312,0.0463
Germany: 2. Bundesliga,2020,SV Sandhausen,36.34986,0.0412
Germany: 2. Bundesliga,2020,SV Darmstadt 98,35.90187,0.0369
Germany: 2. Bundesliga,2020,Holstein Kiel,35.11824,0.0314
Germany: 2. Bundesliga,2020,1. FC Heidenheim 1846,34.3664,0.02715
Germany: 2. Bundesliga,2020,VfL Bochum,33.11627,0.02265
Germany: 2. Bundesliga,2020,Karlsruher SC,31.72094,0.01785
Germany: 2. Bundesliga,2020,VfL Osnabruck,31.73352,0.0177
