league,season,team,spi,win_forecast
Austria: Bundesliga,2022,FC Salzburg,80.51442,0.93915
Austria: Bundesliga,2022,SK Sturm Graz,49.09313,0.01865
Austria: Bundesliga,2022,Rapid Vienna,47.46474,0.01505
Austria: Bundesliga,2022,LASK Linz,45.57811,0.0107
Austria: Bundesliga,2022,FK Austria Vienna,45.55496,0.0065
Austria: Bundesliga,2022,Wolfsberger AC,42.11684,0.0032
Austria: Bundesliga,2022,WSG Swarovski Wattens,37.6429,0.00195
Austria: Bundesliga,2022,Hartberg,37.88779,0.0022
Austria: Bundesliga,2022,SK Austria Klagenfurt,36.44881,0.00115
Austria: Bundesliga,2022,SV Ried,34.04193,0.00075
Austria: Bundesliga,2022,Austria Lustenau,32.69159,0.0004
Austria: Bundesliga,2022,Cashpoint SC Rheindorf Altach,30.38492,0.0003
Austria: Bundesliga,2021,FC Salzburg,78.88675,0.89195
Austria: Bundesliga,2021,Rapid Vienna,53.12668,0.03565
Austria: Bundesliga,2021,SK Sturm Graz,50.57823,0.03085
Austria: Bundesliga,2021,LASK Linz,50.98982,0.02865
Austria: Bundesliga,2021,FK Austria Vienna,41.42267,0.0033
Austria: Bundesliga,2021,Wolfsberger AC,40.07307,0.0027
Austria: Bundesliga,2021,WSG Swarovski Wattens,39.10903,0.00255
Austria: Bundesliga,2021,Hartberg,35.78421,0.0014
Austria: Bundesliga,2021,SV Ried,32.78433,0.0011
Austria: Bundesliga,2021,SK Austria Klagenfurt,32.73016,0.00095
Austria: Bundesliga,2021,Cashpoint SC Rheindorf Altach,32.68717,0.00075
Austria: Bundesliga,2021,FC Trenkwalder Admira,28.1639,0.00015
Austria: Bundesliga,2020,FC Salzburg,79.83747,0.87045
Austria: Bundesliga,2020,LASK Linz,57.44771,0.06515
Austria: Bundesliga,2020,Rapid Vienna,53.87907,0.03565
Austria: Bundesliga,2020,Wolfsberger AC,51.62235,0.02215
Austria: Bundesliga,2020,FK Austria Vienna,41.8823,0.003
Austria: Bundesliga,2020,Cashpoint SC Rheindorf Altach,37.61692,0.00045
Austria: Bundesliga,2020,Hartberg,38.74029,0.0015
Austria: Bundesliga,2020,SK Sturm Graz,37.91467,0.0008
Austria: Bundesliga,2020,SV Ried,35.77618,0.00055
Austria: Bundesliga,2020,St. Pölten,33.81621,0.00025
Austria: Bundesliga,2020,FC Trenkwalder Admira,30.16271,0.00001
Austria: Bundesliga,2020,WSG Swarovski Wattens,28.10285,0.00005
Austria: Bundesliga,2019,FC Salzburg,79.17398,0.8605
Austria: Bundesliga,2019,LASK Linz,60.56625,0.1023
Austria: Bundesliga,2019,SK Sturm Graz,47.26176,0.01475
Austria: Bundesliga,2019,Rapid Vienna,46.93455,0.00655
Austria: Bundesliga,2019,Wolfsberger AC,43.92082,0.0055
Austria: Bundesliga,2019,Cashpoint SC Rheindorf Altach,41.63253,0.00315
Austria: Bundesliga,2019,FK Austria Vienna,42.34025,0.00275
Austria: Bundesliga,2019,SV Mattersburg,37.37291,0.0019
Austria: Bundesliga,2019,WSG Swarovski Wattens,35.49629,0.0012
Austria: Bundesliga,2019,Hartberg,35.67007,0.00095
Austria: Bundesliga,2019,FC Trenkwalder Admira,31.79738,0.0002
Austria: Bundesliga,2019,St. Pölten,29.29185,0.00025
Austria: Bundesliga,2018,FC Salzburg,76.1086,0.8404
Austria: Bundesliga,2018,Rapid Vienna,58.92704,0.07975
Austria: Bundesliga,2018,SK Sturm Graz,54.62285,0.06175
Austria: Bundesliga,2018,SV Mattersburg,43.1245,0.00505
Austria: Bundesliga,2018,FK Austria Vienna,44.12159,0.00545
Austria: Bundesliga,2018,LASK Linz,42.89192,0.0025
Austria: Bundesliga,2018,FC Trenkwalder Admira,38.77451,0.002
Austria: Bundesliga,2018,Wolfsberger AC,34.41277,0.0008
Austria: Bundesliga,2018,St. Pölten,32.77131,0.00125
Austria: Bundesliga,2018,Cashpoint SC Rheindorf Altach,35.081,0.0006
Austria: Bundesliga,2018,FC Wacker Innsbruck,34.4309,0.00015
Austria: Bundesliga,2018,Hartberg,33.52521,0.0003
Austria: Bundesliga,2017,FC Salzburg,66.47755,0.69642
Austria: Bundesliga,2017,SK Sturm Graz,47.39914,0.11668
Austria: Bundesliga,2017,Rapid Vienna,51.03045,0.10524
Austria: Bundesliga,2017,FK Austria Vienna,48.33842,0.04692
Austria: Bundesliga,2017,SV Mattersburg,37.13572,0.0117
Austria: Bundesliga,2017,Cashpoint SC Rheindorf Altach,35.72915,0.00914
Austria: Bundesliga,2017,Wolfsberger AC,32.85708,0.0037
Austria: Bundesliga,2017,FC Trenkwalder Admira,33.69441,0.00498
Austria: Bundesliga,2017,LASK Linz,28.84168,0.00384
Austria: Bundesliga,2017,St. Pölten,32.06626,0.00138
