league,season,team,spi,win_forecast
Germany: Bundesliga,2022,Bayern Munich,91.75174,0.71115
Germany: Bundesliga,2022,Borussia Dortmund,80.58369,0.0887
Germany: Bundesliga,2022,RB Leipzig,80.75801,0.0818
Germany: Bundesliga,2022,Bayer Leverkusen,77.75224,0.0491
Germany: Bundesliga,2022,Borussia Monchengladbach,69.37723,0.0113
Germany: Bundesliga,2022,1. FC Union Berlin,69.97953,0.0092
Germany: Bundesliga,2022,Mainz,68.87744,0.00785
Germany: Bundesliga,2022,SC Freiburg,67.93869,0.00625
Germany: Bundesliga,2022,VfL Wolfsburg,68.18364,0.00615
Germany: Bundesliga,2022,Eintracht Frankfurt,68.47037,0.00525
Germany: Bundesliga,2022,TSG Hoffenheim,66.77241,0.00695
Germany: Bundesliga,2022,FC Cologne,66.95203,0.00555
Germany: Bundesliga,2022,VfB Stuttgart,65.12978,0.0044
Germany: Bundesliga,2022,FC Augsburg,60.93418,0.0021
Germany: Bundesliga,2022,VfL Bochum,60.73073,0.00145
Germany: Bundesliga,2022,Schalke 04,60.66291,0.001
Germany: Bundesliga,2022,Hertha Berlin,59.69526,0.0009
Germany: Bundesliga,2022,Werder Bremen,59.81804,0.0009
Germany: Bundesliga,2021,Bayern Munich,90.88247,0.59225
Germany: Bundesliga,2021,Borussia Dortmund,83.68075,0.1467
Germany: Bundesliga,2021,RB Leipzig,84.4653,0.1414
Germany: Bundesliga,2021,VfL Wolfsburg,75.71766,0.0285
Germany: Bundesliga,2021,Bayer Leverkusen,74.95846,0.0223
Germany: Bundesliga,2021,Borussia Monchengladbach,73.01668,0.0194
Germany: Bundesliga,2021,Eintracht Frankfurt,71.58963,0.01575
Germany: Bundesliga,2021,TSG Hoffenheim,69.79649,0.01005
Germany: Bundesliga,2021,Mainz,67.00779,0.0053
Germany: Bundesliga,2021,1. FC Union Berlin,66.90017,0.00435
Germany: Bundesliga,2021,VfB Stuttgart,65.26899,0.0036
Germany: Bundesliga,2021,SC Freiburg,65.65413,0.0031
Germany: Bundesliga,2021,Hertha Berlin,65.95685,0.00315
Germany: Bundesliga,2021,FC Cologne,61.79605,0.00115
Germany: Bundesliga,2021,Arminia Bielefeld,60.69146,0.0011
Germany: Bundesliga,2021,FC Augsburg,59.25603,0.0006
Germany: Bundesliga,2021,VfL Bochum,58.89792,0.0006
Germany: Bundesliga,2021,SpVgg Greuther Fürth,58.51327,0.0007
Germany: Bundesliga,2020,Bayern Munich,94.66401,0.80685
Germany: Bundesliga,2020,Borussia Dortmund,84.12109,0.06885
Germany: Bundesliga,2020,RB Leipzig,83.93792,0.067
Germany: Bundesliga,2020,Bayer Leverkusen,77.92348,0.0193
Germany: Bundesliga,2020,Borussia Monchengladbach,77.63767,0.01755
Germany: Bundesliga,2020,TSG Hoffenheim,72.55266,0.00665
Germany: Bundesliga,2020,VfL Wolfsburg,72.24768,0.0038
Germany: Bundesliga,2020,Eintracht Frankfurt,70.55879,0.0032
Germany: Bundesliga,2020,Hertha Berlin,67.88359,0.0015
Germany: Bundesliga,2020,SC Freiburg,64.70489,0.0006
Germany: Bundesliga,2020,Mainz,64.66322,0.00095
Germany: Bundesliga,2020,Werder Bremen,64.8171,0.00105
