league,season,team,spi,win_forecast
China: Super League,2019,Guangzhou Evergrande,65.5933,0.4354
China: Super League,2019,Shanghai SIPG,60.08297,0.22705
China: Super League,2019,Beijing Guoan,54.81753,0.11545
China: Super League,2019,Jiangsu Suning FC,51.5878,0.07215
China: Super League,2019,Shandong Luneng,48.2193,0.049
China: Super League,2019,Dalian Aerbin,45.83025,0.03045
China: Super League,2019,Guangzhou RF,40.45457,0.01135
China: Super League,2019,Shanghai Greenland,39.80544,0.01165
China: Super League,2019,Tianjin Quanujian,39.99147,0.01025
China: Super League,2019,Hebei China Fortune FC,38.7503,0.00845
China: Super League,2019,Chongqing Lifan,38.23685,0.0085
China: Super League,2019,Guizhou Renhe,37.83403,0.0071
China: Super League,2019,Tianjin Teda,36.92488,0.00505
China: Super League,2019,Henan Jianye,35.176,0.00405
China: Super League,2019,Wuhan Zall,32.24751,0.0025
China: Super League,2019,Shenzhen FC,31.98753,0.0016
China: Super League,2018,Guangzhou Evergrande,64.9305,0.38955
China: Super League,2018,Shanghai SIPG,62.28692,0.3238
China: Super League,2018,Beijing Guoan,53.84293,0.15265
China: Super League,2018,Shandong Luneng,50.738,0.1123
China: Super League,2018,Jiangsu Suning FC,49.26423,0.01945
China: Super League,2018,Shanghai Greenland,42.60369,0.0009
China: Super League,2018,Guangzhou RF,43.83025,0.0005
China: Super League,2018,Tianjin Quanujian,43.90853,0.00035
China: Super League,2018,Tianjin Teda,39.87548,0.0003
China: Super League,2018,Hebei China Fortune FC,44.32058,0.0001
China: Super League,2018,Changchun Yatai,44.69231,0.00001
China: Super League,2018,Guizhou Renhe,37.47177,0.0001
China: Super League,2018,Henan Jianye,36.15641,0.00001
China: Super League,2018,Chongqing Lifan,35.82895,0.00001
China: Super League,2018,Dalian Aerbin,36.82902,0.00001
China: Super League,2018,Guizhou Hengfeng Zhicheng,34.83453,0.00001
