league,season,team,spi,win_forecast
Norway: Eliteserien,2022,Bodo/Glimt,56.45081,0.412
Norway: Eliteserien,2022,Molde,52.02097,0.24285
Norway: Eliteserien,2022,Rosenborg,46.20255,0.1325
Norway: Eliteserien,2022,Viking FK,40.98057,0.0669
Norway: Eliteserien,2022,Valerenga,39.69861,0.0562
Norway: Eliteserien,2022,Lillestrom,36.09627,0.03305
Norway: Eliteserien,2022,Stromsgodset,30.7797,0.01325
Norway: Eliteserien,2022,Aalesund,29.19088,0.0107
Norway: Eliteserien,2022,Sarpsborg,28.24317,0.00685
Norway: Eliteserien,2022,Haugesund,28.26582,0.0082
Norway: Eliteserien,2022,Kristiansund BK,27.50716,0.00655
Norway: Eliteserien,2022,Odd BK,26.86947,0.00475
Norway: Eliteserien,2022,Tromso,23.1871,0.00225
Norway: Eliteserien,2022,Sandefjord,21.79898,0.00185
Norway: Eliteserien,2022,Hamarkamaratene,20.72428,0.0017
Norway: Eliteserien,2022,FK Jerv,17.39248,0.0004
Norway: Eliteserien,2021,Bodo/Glimt,57.35272,0.4246
Norway: Eliteserien,2021,Molde,55.99511,0.39295
Norway: Eliteserien,2021,Rosenborg,44.62742,0.10285
Norway: Eliteserien,2021,Valerenga,35.5558,0.0272
Norway: Eliteserien,2021,Viking FK,32.18811,0.0177
Norway: Eliteserien,2021,Kristiansund BK,29.13004,0.00615
Norway: Eliteserien,2021,Odd BK,28.42553,0.00825
Norway: Eliteserien,2021,Stabaek,26.56527,0.00585
Norway: Eliteserien,2021,Haugesund,25.3098,0.00445
Norway: Eliteserien,2021,Sarpsborg,22.05705,0.00295
Norway: Eliteserien,2021,Stromsgodset,23.13995,0.0025
Norway: Eliteserien,2021,SK Brann,22.87031,0.0015
Norway: Eliteserien,2021,Lillestrom,21.54137,0.0015
Norway: Eliteserien,2021,Sandefjord,18.94406,0.0008
Norway: Eliteserien,2021,Tromso,17.41964,0.0003
Norway: Eliteserien,2021,Mjondalen,16.33653,0.00045
Norway: Eliteserien,2020,Molde,53.65754,0.49955
Norway: Eliteserien,2020,Rosenborg,49.37347,0.3032
Norway: Eliteserien,2020,Bodo/Glimt,35.87021,0.0542
Norway: Eliteserien,2020,Viking FK,32.76251,0.03085
Norway: Eliteserien,2020,Haugesund,30.34841,0.024
Norway: Eliteserien,2020,Stabaek,29.0038,0.0179
Norway: Eliteserien,2020,Odd BK,29.15246,0.01805
Norway: Eliteserien,2020,Kristiansund BK,28.27352,0.0151
Norway: Eliteserien,2020,SK Brann,25.71769,0.00955
Norway: Eliteserien,2020,Valerenga,25.91471,0.0088
Norway: Eliteserien,2020,Stromsgodset,25.84722,0.00855
Norway: Eliteserien,2020,Sarpsborg,22.78863,0.00455
Norway: Eliteserien,2020,Aalesund,20.50528,0.00205
Norway: Eliteserien,2020,Mjondalen,20.46317,0.00175
Norway: Eliteserien,2020,IK Start,17.87608,0.00095
Norway: Eliteserien,2020,Sandefjord,17.14782,0.00095
Norway: Eliteserien,2019,Rosenborg,51.39332,0.34345
Norway: Eliteserien,2019,Molde,50.16382,0.33405
Norway: Eliteserien,2019,SK Brann,38.21621,0.0598
Norway: Eliteserien,2019,Sarpsborg,36.73766,0.0555
Norway: Eliteserien,2019,Stromsgodset,33.76203,0.04185
Norway: Eliteserien,2019,Haugesund,33.25468,0.02875
Norway: Eliteserien,2019,Odd BK,30.45407,0.02865
Norway: Eliteserien,2019,Valerenga,30.933,0.0266
Norway: Eliteserien,2019,Bodo/Glimt,29.03528,0.02315
Norway: Eliteserien,2019,Kristiansund BK,31.50678,0.0163
Norway: Eliteserien,2019,Tromso,26.93153,0.01305
Norway: Eliteserien,2019,Stabaek,27.40906,0.0123
Norway: Eliteserien,2019,Lillestrom,25.49327,0.0076
Norway: Eliteserien,2019,Viking FK,22.98116,0.0056
Norway: Eliteserien,2019,Ranheim,22.39057,0.00205
Norway: Eliteserien,2019,Mjondalen,20.02735,0.0013
Norway: Eliteserien,2018,Rosenborg,54.1783,0.4837
Norway: Eliteserien,2018,Molde,44.90089,0.1952
Norway: Eliteserien,2018,Sarpsborg,36.69249,0.07035
Norway: Eliteserien,2018,Stromsgodset,39.56559,0.07275
Norway: Eliteserien,2018,SK Brann,37.73931,0.06465
Norway: Eliteserien,2018,Valerenga,33.3383,0.02745
Norway: Eliteserien,2018,Haugesund,29.45076,0.0194
Norway: Eliteserien,2018,Stabaek,31.26186,0.01765
Norway: Eliteserien,2018,Kristiansund BK,30.73299,0.0171
Norway: Eliteserien,2018,Lillestrom,27.91493,0.00675
Norway: Eliteserien,2018,Bodo/Glimt,25.13887,0.0078
Norway: Eliteserien,2018,Tromso,27.83504,0.0065
Norway: Eliteserien,2018,Ranheim,23.82863,0.0054
Norway: Eliteserien,2018,Odd BK,24.97978,0.00405
Norway: Eliteserien,2018,Sandefjord,20.73426,0.0005
Norway: Eliteserien,2018,IK Start,18.65404,0.00075
Norway: Eliteserien,2017,Rosenborg,53.83248,0.79874
Norway: Eliteserien,2017,Molde,43.26274,0.0858
Norway: Eliteserien,2017,Sarpsborg,37.66679,0.07544
Norway: Eliteserien,2017,SK Brann,43.50141,0.03026
Norway: Eliteserien,2017,Haugesund,33.80802,0.00578
Norway: Eliteserien,2017,Valerenga,32.49545,0.00156
Norway: Eliteserien,2017,Aalesund,33.80304,0.00054
Norway: Eliteserien,2017,Odd BK,27.49313,0.001
Norway: Eliteserien,2017,Lillestrom,33.81511,0.00034
Norway: Eliteserien,2017,Stromsgodset,32.87577,0.00022
Norway: Eliteserien,2017,Sandefjord,27.25907,0.00012
Norway: Eliteserien,2017,Stabaek,24.96469,0.0002
Norway: Eliteserien,2017,Sogndal,24.24074,0.00001
Norway: Eliteserien,2017,Kristiansund BK,23.73188,0.00001
Norway: Eliteserien,2017,Viking FK,25.71391,0.00001
Norway: Eliteserien,2017,Tromso,19.71005,0.00001
