league,season,team,spi,win_forecast
UEFA Europa Conference League,2022,Villarreal,79.38961,0.2807
UEFA Europa Conference League,2022,West Ham United,69.6619,0.08295
UEFA Europa Conference League,2022,Fiorentina,67.14156,0.07585
UEFA Europa Conference League,2022,FC Cologne,69.03157,0.07475
UEFA Europa Conference League,2022,Slavia Prague,64.65658,0.0616
UEFA Europa Conference League,2022,AZ,64.04045,0.0481
UEFA Europa Conference League,2022,Nice,62.50632,0.03445
UEFA Europa Conference League,2022,Anderlecht,60.0108,0.0214
UEFA Europa Conference League,2022,Steaua Bucuresti,58.6122,0.02
UEFA Europa Conference League,2022,Arsenal,80.63421,0.01855
UEFA Europa Conference League,2022,SC Dnipro-1,56.21035,0.01825
UEFA Europa Conference League,2022,Slovácko,58.91384,0.01775
UEFA Europa Conference League,2022,PSV,75.40184,0.0177
UEFA Europa Conference League,2022,KAA Gent,54.60319,0.0167
UEFA Europa Conference League,2022,Feyenoord,73.81057,0.01255
UEFA Europa Conference League,2022,Lazio,69.66089,0.0122
UEFA Europa Conference League,2022,Real Sociedad,75.10766,0.0121
UEFA Europa Conference League,2022,Manchester United,74.08624,0.01165
UEFA Europa Conference League,2022,Molde,52.98785,0.0104
UEFA Europa Conference League,2022,AS Monaco,71.50517,0.01005
UEFA Europa Conference League,2022,Stade Rennes,69.78244,0.00895
UEFA Europa Conference League,2022,Fenerbahce,66.20656,0.0087
UEFA Europa Conference League,2022,SC Freiburg,70.46617,0.00865
UEFA Europa Conference League,2022,Bodo/Glimt,58.66922,0.0086
UEFA Europa Conference League,2022,Olympiacos,61.11305,0.0081
UEFA Europa Conference League,2022,Braga,67.22734,0.00775
UEFA Europa Conference League,2022,Istanbul Basaksehir,51.5019,0.00755
UEFA Europa Conference League,2022,1. FC Union Berlin,71.43869,0.00735
UEFA Europa Conference League,2022,Nantes,59.8673,0.0058
UEFA Europa Conference League,2022,Red Star Belgrade,57.71118,0.00565
UEFA Europa Conference League,2022,FK Partizan Belgrade,51.70977,0.0052
UEFA Europa Conference League,2022,Basel,46.42067,0.00485
UEFA Europa Conference League,2022,Dynamo Kiev,55.38654,0.00475
UEFA Europa Conference League,2022,FC Sheriff Tiraspol,52.76215,0.0043
UEFA Europa Conference League,2022,Ferencvaros,55.2282,0.0037
UEFA Europa Conference League,2022,Hapoel Be'er,47.78587,0.0035
