league,season,team,spi,win_forecast
UEFA Europa League,2022,Arsenal,80.63421,0.0925
UEFA Europa League,2022,Barcelona,85.8153,0.0498
UEFA Europa League,2022,Real Sociedad,75.10766,0.0479
UEFA Europa League,2022,Internazionale,81.9954,0.0454
UEFA Europa League,2022,PSV,75.40184,0.045
UEFA Europa League,2022,AS Roma,73.9133,0.0439
UEFA Europa League,2022,Feyenoord,73.81057,0.04165
UEFA Europa League,2022,Manchester United,74.08624,0.03895
UEFA Europa League,2022,Ajax,85.18517,0.03515
UEFA Europa League,2022,Liverpool,90.03373,0.0328
UEFA Europa League,2022,Bayern Munich,93.17214,0.03185
UEFA Europa League,2022,Real Betis,71.8691,0.0313
UEFA Europa League,2022,1. FC Union Berlin,71.43869,0.02775
UEFA Europa League,2022,AS Monaco,71.50517,0.02675
UEFA Europa League,2022,Napoli,78.16064,0.0243
UEFA Europa League,2022,SC Freiburg,70.46617,0.02345
UEFA Europa League,2022,Stade Rennes,69.78244,0.0217
UEFA Europa League,2022,FC Salzburg,81.16052,0.02175
UEFA Europa League,2022,AC Milan,79.08377,0.0199
UEFA Europa League,2022,Chelsea,82.73841,0.01965
UEFA Europa League,2022,Lazio,69.66089,0.01875
UEFA Europa League,2022,RB Leipzig,80.59018,0.01755
UEFA Europa League,2022,Real Madrid,86.1726,0.0172
UEFA Europa League,2022,Borussia Dortmund,79.50912,0.01565
UEFA Europa League,2022,FC Porto,78.97374,0.01445
UEFA Europa League,2022,Braga,67.22734,0.01425
UEFA Europa League,2022,Atletico Madrid,80.33958,0.01365
UEFA Europa League,2022,Benfica,77.33121,0.01355
UEFA Europa League,2022,Celtic,74.2102,0.0135
UEFA Europa League,2022,Paris Saint-Germain,90.34565,0.013
UEFA Europa League,2022,Bayer Leverkusen,76.35966,0.0126
UEFA Europa League,2022,Fenerbahce,66.20656,0.01255
UEFA Europa League,2022,Tottenham Hotspur,81.93341,0.0122
UEFA Europa League,2022,Manchester City,92.0993,0.01165
UEFA Europa League,2022,Sporting CP,76.1376,0.0112
UEFA Europa League,2022,Sevilla FC,70.82985,0.01025
UEFA Europa League,2022,Rangers,71.71004,0.0098
UEFA Europa League,2022,Juventus,69.79165,0.0082
UEFA Europa League,2022,Marseille,69.78253,0.0062
UEFA Europa League,2022,Olympiacos,61.11305,0.00555
UEFA Europa League,2022,Nantes,59.8673,0.00365
UEFA Europa League,2022,Club Brugge,67.79272,0.0036
UEFA Europa League,2022,Eintracht Frankfurt,66.9314,0.00355
UEFA Europa League,2022,Dinamo Zagreb,63.44125,0.00265
UEFA Europa League,2022,Red Star Belgrade,57.71118,0.0026
UEFA Europa League,2022,Bodo/Glimt,58.66922,0.002
UEFA Europa League,2022,Shakhtar Donetsk,60.46595,0.00165
UEFA Europa League,2022,Dynamo Kiev,55.38654,0.00145
UEFA Europa League,2022,Trabzonspor,55.52955,0.00145
UEFA Europa League,2022,Ferencvaros,55.2282,0.0014
UEFA Europa League,2022,FC Copenhagen,56.04862,0.0006
UEFA Europa League,2022,Viktoria Plzen,55.04043,0.00045
UEFA Europa League,2022,FC Sheriff Tiraspol,52.76215,0.0004
UEFA Europa League,2022,FC Midtjylland,53.25604,0.0004
UEFA Europa League,2022,SK Sturm Graz,52.70907,0.0004
