league,season,team,spi,win_forecast
England: Women's Super League,2022,Chelsea FC,76.45301,0.3211
England: Women's Super League,2022,Arsenal,75.99374,0.31325
England: Women's Super League,2022,Manchester City,73.43193,0.2236
England: Women's Super League,2022,Manchester United,66.41128,0.08745
England: Women's Super League,2022,Liverpool,56.35171,0.01815
England: Women's Super League,2022,Tottenham,54.82331,0.0139
England: Women's Super League,2022,West Ham United Ladies,50.68934,0.00725
England: Women's Super League,2022,Brighton & Hove Albion,48.7342,0.00525
England: Women's Super League,2022,Everton Ladies,48.35255,0.00455
England: Women's Super League,2022,Reading,47.2005,0.00335
England: Women's Super League,2022,Aston Villa,43.09601,0.0014
England: Women's Super League,2022,Leicester City WFC,40.78513,0.00075
England: Women's Super League,2021,Chelsea FC,78.0089,0.3867
England: Women's Super League,2021,Manchester City,75.69739,0.2887
England: Women's Super League,2021,Arsenal,74.31798,0.2446
England: Women's Super League,2021,Manchester United,62.20277,0.04745
England: Women's Super League,2021,Everton Ladies,55.07303,0.0147
England: Women's Super League,2021,West Ham United Ladies,48.94801,0.0042
England: Women's Super League,2021,Reading,47.6085,0.00345
England: Women's Super League,2021,Brighton & Hove Albion,45.81268,0.00265
England: Women's Super League,2021,Tottenham,45.81039,0.0031
England: Women's Super League,2021,Leicester City WFC,44.86244,0.0023
England: Women's Super League,2021,Birmingham City,42.93864,0.0012
England: Women's Super League,2021,Aston Villa,40.22074,0.00095
England: Women's Super League,2020,Arsenal,74.81599,0.4075
England: Women's Super League,2020,Chelsea FC,74.24032,0.2853
England: Women's Super League,2020,Manchester City,71.27881,0.25145
England: Women's Super League,2020,Manchester United,54.21793,0.01465
England: Women's Super League,2020,Everton Ladies,48.97935,0.00855
England: Women's Super League,2020,Reading,51.67392,0.00835
England: Women's Super League,2020,Brighton & Hove Albion,47.94894,0.00635
England: Women's Super League,2020,Tottenham,50.79036,0.0077
England: Women's Super League,2020,Birmingham City,50.33774,0.00485
England: Women's Super League,2020,West Ham United Ladies,48.50514,0.0044
England: Women's Super League,2020,Aston Villa,39.04564,0.0003
England: Women's Super League,2020,Bristol Academy,39.79624,0.0006
