league,season,team,spi,win_forecast
Belgium: First Division A,2022,Club Brugge,69.51395,0.51585
Belgium: First Division A,2022,Anderlecht,59.55033,0.2314
Belgium: First Division A,2022,KAA Gent,56.22465,0.1224
Belgium: First Division A,2022,Genk,60.4696,0.0646
Belgium: First Division A,2022,Union Saint Gilloise,50.79474,0.0404
Belgium: First Division A,2022,Antwerp,46.62638,0.0065
Belgium: First Division A,2022,Sporting de Charleroi,44.44832,0.00525
Belgium: First Division A,2022,St. Truidense,41.82708,0.006
Belgium: First Division A,2022,Cercle Brugge,41.2416,0.0047
Belgium: First Division A,2022,KV Mechelen,38.91134,0.0008
Belgium: First Division A,2022,Standard Liege,36.54548,0.0017
Belgium: First Division A,2022,KV Kortrijk,36.032,0.00001
Belgium: First Division A,2022,KVC Westerlo,35.83883,0.00001
Belgium: First Division A,2022,OH Leuven,33.9236,0.00001
Belgium: First Division A,2022,KV Oostende,33.28631,0.0004
Belgium: First Division A,2022,SV Zulte Waregem,30.15435,0.00001
Belgium: First Division A,2022,Eupen,28.78836,0.00001
Belgium: First Division A,2022,RFC Seraing,24.6683,0.00001
Belgium: First Division A,2021,Club Brugge,64.87485,0.3602
Belgium: First Division A,2021,Genk,64.10782,0.31535
Belgium: First Division A,2021,Anderlecht,54.44486,0.0972
Belgium: First Division A,2021,Antwerp,50.16005,0.0512
Belgium: First Division A,2021,KAA Gent,51.53841,0.04865
Belgium: First Division A,2021,Standard Liege,43.65005,0.0206
Belgium: First Division A,2021,KV Oostende,40.26917,0.0154
Belgium: First Division A,2021,Sporting de Charleroi,41.67182,0.01645
Belgium: First Division A,2021,KV Mechelen,43.10655,0.01665
Belgium: First Division A,2021,Eupen,39.14827,0.01405
Belgium: First Division A,2021,Union Saint Gilloise,37.19233,0.01045
Belgium: First Division A,2021,Cercle Brugge,37.00736,0.0096
Belgium: First Division A,2021,KV Kortrijk,35.75438,0.0068
Belgium: First Division A,2021,SV Zulte Waregem,37.72294,0.0079
Belgium: First Division A,2021,St. Truidense,34.65714,0.00405
Belgium: First Division A,2021,OH Leuven,35.93296,0.0034
Belgium: First Division A,2021,KFCO Beerschot-Wilrijk,31.48206,0.00125
Belgium: First Division A,2021,RFC Seraing,27.99159,0.0008
Belgium: First Division A,2020,Club Brugge,66.23095,0.36475
Belgium: First Division A,2020,Anderlecht,57.11268,0.18765
Belgium: First Division A,2020,Sporting de Charleroi,54.39421,0.1287
Belgium: First Division A,2020,Genk,53.86952,0.1297
Belgium: First Division A,2020,Standard Liege,50.73941,0.06185
Belgium: First Division A,2020,KAA Gent,55.9531,0.0597
Belgium: First Division A,2020,Antwerp,48.12895,0.0471
Belgium: First Division A,2020,KFCO Beerschot-Wilrijk,35.6718,0.0077
Belgium: First Division A,2020,KV Mechelen,39.66958,0.00315
Belgium: First Division A,2020,Mouscron-Peruwelz,39.39016,0.00001
Belgium: First Division A,2020,St. Truidense,37.03172,0.0042
Belgium: First Division A,2020,SV Zulte Waregem,37.9521,0.00001
Belgium: First Division A,2020,Cercle Brugge,33.66105,0.002
Belgium: First Division A,2020,KV Kortrijk,36.41053,0.0035
Belgium: First Division A,2020,Eupen,32.16927,0.00001
Belgium: First Division A,2020,OH Leuven,31.12137,0.00001
Belgium: First Division A,2020,KV Oostende,28.84512,0.00001
Belgium: First Division A,2020,Waasland-Beveren,26.82684,0.00001
Belgium: First Division A,2019,Club Brugge,68.68235,0.37085
Belgium: First Division A,2019,Genk,64.09148,0.2467
Belgium: First Division A,2019,Standard Liege,55.41757,0.104
Belgium: First Division A,2019,KAA Gent,53.84866,0.0886
Belgium: First Division A,2019,Anderlecht,50.91642,0.055
Belgium: First Division A,2019,Antwerp,46.43135,0.0356
Belgium: First Division A,2019,Mouscron-Peruwelz,44.37163,0.02745
Belgium: First Division A,2019,KV Kortrijk,43.73619,0.0199
Belgium: First Division A,2019,KV Mechelen,37.12338,0.0084
Belgium: First Division A,2019,Sporting de Charleroi,40.92041,0.0133
Belgium: First Division A,2019,KV Oostende,35.96292,0.0069
Belgium: First Division A,2019,St. Truidense,41.02174,0.01285
Belgium: First Division A,2019,SV Zulte Waregem,36.25403,0.0052
Belgium: First Division A,2019,Waasland-Beveren,33.8601,0.00315
Belgium: First Division A,2019,Eupen,29.3791,0.001
Belgium: First Division A,2019,Cercle Brugge,29.42629,0.0011
Belgium: First Division A,2018,Club Brugge,68.65744,0.3553
Belgium: First Division A,2018,Anderlecht,65.47552,0.2743
Belgium: First Division A,2018,Standard Liege,65.00458,0.1932
Belgium: First Division A,2018,Genk,60.38866,0.09025
Belgium: First Division A,2018,KAA Gent,57.14455,0.03705
Belgium: First Division A,2018,KV Oostende,49.57364,0.01505
Belgium: First Division A,2018,Sporting de Charleroi,47.14849,0.00905
Belgium: First Division A,2018,KV Kortrijk,47.6581,0.00695
Belgium: First Division A,2018,Antwerp,43.85499,0.0068
Belgium: First Division A,2018,SV Zulte Waregem,45.22333,0.0059
Belgium: First Division A,2018,Waasland-Beveren,42.6487,0.00345
Belgium: First Division A,2018,St. Truidense,38.40859,0.0007
Belgium: First Division A,2018,Cercle Brugge,36.89763,0.00115
Belgium: First Division A,2018,Eupen,37.87515,0.0005
Belgium: First Division A,2018,Mouscron-Peruwelz,35.07501,0.00025
Belgium: First Division A,2018,KSC Lokeren,34.53992,0.0001
