league,season,team,spi,win_forecast
Spain: La Liga 2,2022,Levante,52.98709,0.3499
Spain: La Liga 2,2022,Granada,45.01188,0.13695
Spain: La Liga 2,2022,Alavés,40.33067,0.0696
Spain: La Liga 2,2022,Eibar,38.70226,0.05735
Spain: La Liga 2,2022,Real Zaragoza,37.58413,0.0481
Spain: La Liga 2,2022,Real Oviedo,37.45916,0.0475
Spain: La Liga 2,2022,SD Huesca,36.91707,0.04265
Spain: La Liga 2,2022,Las Palmas,36.82633,0.0405
Spain: La Liga 2,2022,Leganes,35.73367,0.03545
Spain: La Liga 2,2022,Sporting Gijón,35.31886,0.03125
Spain: La Liga 2,2022,Tenerife,33.672,0.02345
Spain: La Liga 2,2022,FC Cartagena,33.6257,0.02255
Spain: La Liga 2,2022,Mirandes,33.1733,0.02185
Spain: La Liga 2,2022,UD Ibiza,30.75328,0.01405
Spain: La Liga 2,2022,Burgos,29.47091,0.01115
Spain: La Liga 2,2022,SD Ponferradina,29.82063,0.0099
Spain: La Liga 2,2022,Málaga,29.28886,0.0104
Spain: La Liga 2,2022,Villarreal B,28.6438,0.00745
Spain: La Liga 2,2022,Lugo,27.70787,0.00685
Spain: La Liga 2,2022,Racing Santander,26.88797,0.00605
Spain: La Liga 2,2022,FC Andorra,25.61078,0.00335
Spain: La Liga 2,2022,Albacete,25.52198,0.0037
Spain: La Liga 2,2021,Real Valladolid,49.1198,0.26085
Spain: La Liga 2,2021,Almeria,47.566,0.21465
Spain: La Liga 2,2021,Girona FC,43.37128,0.13055
Spain: La Liga 2,2021,Leganes,42.31734,0.117
Spain: La Liga 2,2021,SD Huesca,35.91698,0.0442
Spain: La Liga 2,2021,Sporting Gijón,34.02145,0.03405
Spain: La Liga 2,2021,Eibar,33.53591,0.03005
Spain: La Liga 2,2021,Real Zaragoza,31.0425,0.0189
Spain: La Liga 2,2021,Málaga,30.49781,0.0179
Spain: La Liga 2,2021,Tenerife,30.25183,0.01685
Spain: La Liga 2,2021,Real Oviedo,30.54199,0.0169
Spain: La Liga 2,2021,Las Palmas,30.38198,0.01795
Spain: La Liga 2,2021,Fuenlabrada,29.77608,0.0152
Spain: La Liga 2,2021,Real Sociedad II,29.35352,0.0115
Spain: La Liga 2,2021,FC Cartagena,28.90421,0.01065
Spain: La Liga 2,2021,SD Ponferradina,27.79494,0.00955
Spain: La Liga 2,2021,AD Alcorcon,27.03609,0.00965
Spain: La Liga 2,2021,Mirandes,27.2095,0.00745
Spain: La Liga 2,2021,UD Ibiza,24.54752,0.0046
Spain: La Liga 2,2021,Amorebieta,24.10499,0.0036
Spain: La Liga 2,2021,Burgos,24.15594,0.00385
Spain: La Liga 2,2021,Lugo,23.57625,0.0041
Spain: La Liga 2,2020,Espanyol,60.75872,0.59145
Spain: La Liga 2,2020,Mallorca,41.60273,0.05085
Spain: La Liga 2,2020,Girona FC,40.88162,0.0461
Spain: La Liga 2,2020,Rayo Vallecano,41.02929,0.0518
Spain: La Liga 2,2020,Leganes,40.36781,0.04295
Spain: La Liga 2,2020,Almeria,37.98536,0.02855
Spain: La Liga 2,2020,Las Palmas,36.70371,0.0241
Spain: La Liga 2,2020,Málaga,35.93693,0.01925
Spain: La Liga 2,2020,Sporting Gijón,34.99513,0.01805
Spain: La Liga 2,2020,Tenerife,34.36785,0.01495
Spain: La Liga 2,2020,Fuenlabrada,34.18443,0.01435
Spain: La Liga 2,2020,Real Oviedo,33.07604,0.01165
Spain: La Liga 2,2020,Real Zaragoza,33.10431,0.0132
Spain: La Liga 2,2020,AD Alcorcon,32.66181,0.01075
Spain: La Liga 2,2020,Albacete,31.84396,0.00865
Spain: La Liga 2,2020,FC Cartagena,31.53009,0.0089
Spain: La Liga 2,2020,Castellon,31.36059,0.0089
Spain: La Liga 2,2020,Mirandes,31.48367,0.0094
Spain: La Liga 2,2020,Lugo,31.08395,0.0065
Spain: La Liga 2,2020,Logrones,30.8532,0.00785
Spain: La Liga 2,2020,CD Sabadell,30.8532,0.00715
Spain: La Liga 2,2020,SD Ponferradina,28.28475,0.00465
Spain: La Liga 2,2019,Girona FC,53.92926,0.3761
Spain: La Liga 2,2019,Rayo Vallecano,47.74879,0.17945
Spain: La Liga 2,2019,Málaga,41.75284,0.07995
Spain: La Liga 2,2019,Deportivo La Coruña,40.77307,0.07045
Spain: La Liga 2,2019,Cadiz,37.29298,0.03925
Spain: La Liga 2,2019,Sporting Gijón,35.81338,0.0318
Spain: La Liga 2,2019,Almeria,35.64809,0.0284
Spain: La Liga 2,2019,Real Zaragoza,35.0025,0.026
Spain: La Liga 2,2019,Albacete,34.45851,0.025
Spain: La Liga 2,2019,SD Huesca,34.78498,0.02495
Spain: La Liga 2,2019,Las Palmas,33.58094,0.0206
Spain: La Liga 2,2019,Real Oviedo,31.23505,0.0151
Spain: La Liga 2,2019,Tenerife,31.47682,0.01285
Spain: La Liga 2,2019,Extremadura UD,30.63878,0.01095
Spain: La Liga 2,2019,Elche,30.69413,0.01085
Spain: La Liga 2,2019,Lugo,29.18168,0.00875
Spain: La Liga 2,2019,Racing Santander,29.19882,0.0086
Spain: La Liga 2,2019,Numancia,28.69464,0.00665
