league,season,team,spi,win_forecast
USA: MLS,2023,Los Angeles FC,56.7766,0.1674
USA: MLS,2023,Philadelphia Union,56.63575,0.14595
USA: MLS,2023,New York City FC,53.92646,0.1055
USA: MLS,2023,Atlanta United FC,50.55308,0.06425
USA: MLS,2023,Austin FC,46.09998,0.05395
USA: MLS,2023,Los Angeles Galaxy,45.60293,0.0489
USA: MLS,2023,FC Cincinnati,46.91956,0.04315
USA: MLS,2023,Seattle Sounders FC,44.61716,0.04175
USA: MLS,2023,FC Dallas,43.28658,0.03685
USA: MLS,2023,Toronto FC,43.78988,0.02565
USA: MLS,2023,Orlando City SC,43.17912,0.0252
USA: MLS,2023,Portland Timbers,41.0113,0.0246
USA: MLS,2023,Montreal Impact,43.04545,0.02405
USA: MLS,2023,New York Red Bulls,42.11918,0.023
USA: MLS,2023,Sporting Kansas City,40.18631,0.0212
USA: MLS,2023,Nashville SC,42.17989,0.02025
USA: MLS,2023,Columbus Crew,40.44461,0.0181
USA: MLS,2023,San Jose Earthquakes,38.97612,0.01675
USA: MLS,2023,Minnesota United FC,38.00898,0.01645
USA: MLS,2023,New England Revolution,39.67455,0.01455
USA: MLS,2023,Charlotte FC,38.66326,0.0125
USA: MLS,2023,Vancouver Whitecaps,36.24671,0.01185
USA: MLS,2023,Chicago Fire,37.19211,0.0102
USA: MLS,2023,Colorado Rapids,35.71873,0.0099
USA: MLS,2023,Real Salt Lake,33.49926,0.0078
USA: MLS,2023,Inter Miami CF,34.04432,0.00465
USA: MLS,2023,Houston Dynamo,31.12103,0.0043
USA: MLS,2023,DC United,28.39365,0.0011
USA: MLS,2023,St. Louis CITY SC,19.87269,0.0002
USA: MLS,2022,New York City FC,53.93635,0.1473
USA: MLS,2022,Los Angeles FC,51.06022,0.1093
USA: MLS,2022,Seattle Sounders FC,48.61022,0.08705
USA: MLS,2022,New England Revolution,48.91527,0.08505
USA: MLS,2022,New York Red Bulls,44.74705,0.05335
USA: MLS,2022,Atlanta United FC,44.66002,0.051
USA: MLS,2022,Philadelphia Union,43.63642,0.04445
USA: MLS,2022,Minnesota United FC,43.12299,0.041
USA: MLS,2022,Nashville SC,41.42365,0.03855
USA: MLS,2022,Columbus Crew,41.44492,0.03455
USA: MLS,2022,Orlando City SC,41.10246,0.03315
USA: MLS,2022,Sporting Kansas City,41.04222,0.0328
USA: MLS,2022,Colorado Rapids,40.85463,0.0306
USA: MLS,2022,Portland Timbers,40.32822,0.02905
USA: MLS,2022,Los Angeles Galaxy,40.36501,0.02865
USA: MLS,2022,FC Dallas,40.23823,0.0282
USA: MLS,2022,DC United,36.79141,0.0173
USA: MLS,2022,Chicago Fire,36.30328,0.01645
USA: MLS,2022,Vancouver Whitecaps,36.34162,0.0163
USA: MLS,2022,Montreal Impact,36.14614,0.01495
USA: MLS,2022,San Jose Earthquakes,35.91237,0.01375
USA: MLS,2022,Toronto FC,35.2705,0.01375
USA: MLS,2022,Austin FC,33.01638,0.00865
USA: MLS,2022,Real Salt Lake,32.365,0.00785
USA: MLS,2022,Inter Miami CF,31.36995,0.0059
USA: MLS,2022,Charlotte FC,29.94721,0.0048
USA: MLS,2022,Houston Dynamo,29.33337,0.0046
USA: MLS,2022,FC Cincinnati,26.11911,0.00165
USA: MLS,2021,Los Angeles FC,50.97009,0.1245
USA: MLS,2021,Philadelphia Union,50.90977,0.1163
USA: MLS,2021,New York City FC,50.69036,0.11125
USA: MLS,2021,Seattle Sounders FC,48.14346,0.10325
USA: MLS,2021,New England Revolution,45.11229,0.0596
USA: MLS,2021,Portland Timbers,42.12623,0.0445
USA: MLS,2021,Sporting Kansas City,41.30767,0.0393
USA: MLS,2021,Minnesota United FC,41.10613,0.0379
USA: MLS,2021,Colorado Rapids,39.89226,0.03475
USA: MLS,2021,Columbus Crew,40.80627,0.03305
USA: MLS,2021,Inter Miami CF,40.49129,0.0324
USA: MLS,2021,Chicago Fire,41.16479,0.03205
USA: MLS,2021,FC Dallas,39.47428,0.032
USA: MLS,2021,Orlando City SC,40.55654,0.03175
USA: MLS,2021,Toronto FC,39.67368,0.0304
USA: MLS,2021,New York Red Bulls,38.82969,0.0224
USA: MLS,2021,Atlanta United FC,37.41233,0.0201
USA: MLS,2021,Nashville SC,36.92356,0.01965
USA: MLS,2021,Houston Dynamo,36.29673,0.0194
USA: MLS,2021,San Jose Earthquakes,35.7136,0.01685
USA: MLS,2021,Real Salt Lake,33.64206,0.013
USA: MLS,2021,Los Angeles Galaxy,34.26436,0.0122
USA: MLS,2021,Montreal Impact,30.17742,0.0052
USA: MLS,2021,Austin FC,27.42501,0.00405
USA: MLS,2021,DC United,27.14987,0.00195
USA: MLS,2021,Vancouver Whitecaps,23.13258,0.0013
USA: MLS,2021,FC Cincinnati,23.72739,0.0009
USA: MLS,2020,Los Angeles FC,57.6801,0.24995
USA: MLS,2020,Atlanta United FC,47.91518,0.0853
USA: MLS,2020,New York City FC,46.61626,0.0746
USA: MLS,2020,Philadelphia Union,45.78733,0.06685
USA: MLS,2020,Toronto FC,45.31414,0.06305
USA: MLS,2020,Chicago Fire,43.52238,0.04445
USA: MLS,2020,Seattle Sounders FC,43.13443,0.04425
USA: MLS,2020,Los Angeles Galaxy,43.77757,0.04295
USA: MLS,2020,Inter Miami CF,43.32327,0.04255
USA: MLS,2020,New York Red Bulls,41.97949,0.03815
USA: MLS,2020,FC Dallas,40.98246,0.03305
USA: MLS,2020,Portland Timbers,41.32027,0.03085
USA: MLS,2020,San Jose Earthquakes,40.1272,0.0294
USA: MLS,2020,Minnesota United FC,38.53768,0.02235
USA: MLS,2020,Real Salt Lake,36.9804,0.019
USA: MLS,2020,Sporting Kansas City,37.37613,0.0187
USA: MLS,2020,Columbus Crew,37.35565,0.0184
USA: MLS,2020,New England Revolution,37.58182,0.01655
USA: MLS,2020,Colorado Rapids,36.82568,0.01655
USA: MLS,2020,Houston Dynamo,34.91747,0.0123
USA: MLS,2020,DC United,35.04921,0.0117
USA: MLS,2020,Orlando City SC,33.64678,0.0096
USA: MLS,2020,Montreal Impact,31.83108,0.0062
USA: MLS,2020,Nashville SC,26.11637,0.00185
USA: MLS,2020,Vancouver Whitecaps,24.07749,0.00105
USA: MLS,2020,FC Cincinnati,21.63336,0.00035
USA: MLS,2019,Atlanta United FC,52.38822,0.1552
USA: MLS,2019,New York Red Bulls,51.18956,0.13935
USA: MLS,2019,Sporting Kansas City,47.97763,0.10905
USA: MLS,2019,Seattle Sounders FC,44.72967,0.07305
USA: MLS,2019,New York City FC,46.35009,0.0703
USA: MLS,2019,Los Angeles FC,43.88143,0.0602
USA: MLS,2019,Portland Timbers,42.08686,0.04845
USA: MLS,2019,Toronto FC,43.58349,0.04305
USA: MLS,2019,Columbus Crew,42.2619,0.0421
USA: MLS,2019,FC Dallas,40.72968,0.04055
USA: MLS,2019,Philadelphia Union,41.21114,0.0343
USA: MLS,2019,Los Angeles Galaxy,40.08706,0.03105
USA: MLS,2019,Real Salt Lake,39.39293,0.029
USA: MLS,2019,Montreal Impact,39.68601,0.0274
USA: MLS,2019,DC United,39.19324,0.0245
USA: MLS,2019,Houston Dynamo,36.39607,0.01975
USA: MLS,2019,New England Revolution,36.66937,0.0148
USA: MLS,2019,Vancouver Whitecaps,32.76664,0.01005
USA: MLS,2019,Chicago Fire,31.94496,0.00705
USA: MLS,2019,Minnesota United FC,31.3158,0.007
USA: MLS,2019,San Jose Earthquakes,29.82605,0.0049
USA: MLS,2019,FC Cincinnati,30.0239,0.0045
USA: MLS,2019,Orlando City SC,29.56308,0.0034
USA: MLS,2019,Colorado Rapids,23.92056,0.001
USA: MLS,2018,Toronto FC,48.14444,0.20675
USA: MLS,2018,Atlanta United FC,43.30754,0.12845
USA: MLS,2018,Seattle Sounders FC,40.63044,0.11895
USA: MLS,2018,Portland Timbers,37.69746,0.0751
USA: MLS,2018,New York Red Bulls,37.5819,0.0622
USA: MLS,2018,New York City FC,37.95972,0.06175
USA: MLS,2018,Sporting Kansas City,33.78671,0.0533
USA: MLS,2018,Real Salt Lake,31.55739,0.03
USA: MLS,2018,Los Angeles Galaxy,30.6017,0.0294
USA: MLS,2018,FC Dallas,30.38018,0.0287
USA: MLS,2018,Chicago Fire,32.55253,0.02805
USA: MLS,2018,Columbus Crew,32.21177,0.02755
USA: MLS,2018,Philadelphia Union,32.06875,0.02555
USA: MLS,2018,Los Angeles FC,29.41842,0.023
USA: MLS,2018,Houston Dynamo,28.07265,0.0211
USA: MLS,2018,Vancouver Whitecaps,27.36158,0.01555
USA: MLS,2018,Montreal Impact,29.50155,0.01535
USA: MLS,2018,New England Revolution,28.78681,0.01485
USA: MLS,2018,Orlando City SC,26.7025,0.0098
USA: MLS,2018,DC United,26.08495,0.00775
USA: MLS,2018,Colorado Rapids,23.32228,0.0074
USA: MLS,2018,San Jose Earthquakes,22.44814,0.0048
USA: MLS,2018,Minnesota United FC,21.87786,0.00465
USA: MLS,2017,Seattle Sounders FC,,0.0895
USA: MLS,2017,Toronto FC,,0.0853
USA: MLS,2017,New York Red Bulls,,0.08474
USA: MLS,2017,FC Dallas,,0.0686
USA: MLS,2017,Los Angeles Galaxy,,0.06546
USA: MLS,2017,DC United,,0.05144
USA: MLS,2017,Sporting Kansas City,,0.05124
USA: MLS,2017,Colorado Rapids,,0.04432
USA: MLS,2017,Montreal Impact,,0.04204
USA: MLS,2017,New England Revolution,,0.0409
USA: MLS,2017,Portland Timbers,,0.04028
USA: MLS,2017,New York City FC,,0.03786
USA: MLS,2017,Columbus Crew,,0.0358
USA: MLS,2017,Houston Dynamo,,0.03452
USA: MLS,2017,Orlando City SC,,0.03298
USA: MLS,2017,Vancouver Whitecaps,,0.03122
USA: MLS,2017,Minnesota United FC,,0.0303
USA: MLS,2017,Real Salt Lake,,0.0298
USA: MLS,2017,Atlanta United FC,,0.02922
USA: MLS,2017,Philadelphia Union,,0.02698
USA: MLS,2017,San Jose Earthquakes,,0.02508
USA: MLS,2017,Chicago Fire,,0.02242
