league,season,team,spi,win_forecast
USA: NWSL Challenge Cup,2022,Seattle Reign FC,57.21017,0.1589
USA: NWSL Challenge Cup,2022,Chicago Red Stars,54.70514,0.1376
USA: NWSL Challenge Cup,2022,Portland Thorns,55.52812,0.13435
USA: NWSL Challenge Cup,2022,Washington Spirit,56.53933,0.12035
USA: NWSL Challenge Cup,2022,Houston Dash,51.28026,0.099
USA: NWSL Challenge Cup,2022,Sky Blue FC,54.1091,0.0966
USA: NWSL Challenge Cup,2022,North Carolina FC,53.2141,0.0855
USA: NWSL Challenge Cup,2022,Orlando Pride,46.21032,0.04325
USA: NWSL Challenge Cup,2022,Racing Louisville FC,43.04567,0.0329
USA: NWSL Challenge Cup,2022,Kansas City,42.61859,0.0309
USA: NWSL Challenge Cup,2022,Angel City FC,43.09199,0.03055
USA: NWSL Challenge Cup,2022,San Diego Wave FC,43.09199,0.0301
USA: NWSL Challenge Cup,2021,North Carolina FC,63.37678,0.24615
USA: NWSL Challenge Cup,2021,Washington Spirit,53.83291,0.1249
USA: NWSL Challenge Cup,2021,Chicago Red Stars,54.16072,0.1137
USA: NWSL Challenge Cup,2021,Portland Thorns,54.44488,0.1117
USA: NWSL Challenge Cup,2021,Seattle Reign FC,52.75384,0.09985
USA: NWSL Challenge Cup,2021,Houston Dash,51.97621,0.098
USA: NWSL Challenge Cup,2021,Sky Blue FC,49.63435,0.07275
USA: NWSL Challenge Cup,2021,Kansas City,43.55859,0.04845
USA: NWSL Challenge Cup,2021,Orlando Pride,42.21342,0.04255
USA: NWSL Challenge Cup,2021,Racing Louisville FC,43.55859,0.04195
USA: NWSL Challenge Cup,2020,North Carolina FC,66.88065,0.27055
USA: NWSL Challenge Cup,2020,Chicago Red Stars,57.91754,0.14255
USA: NWSL Challenge Cup,2020,Portland Thorns,56.43158,0.1213
USA: NWSL Challenge Cup,2020,Seattle Reign FC,54.33406,0.1108
USA: NWSL Challenge Cup,2020,Washington Spirit,54.63732,0.1083
USA: NWSL Challenge Cup,2020,Utah Royals FC,53.6084,0.1018
USA: NWSL Challenge Cup,2020,Sky Blue FC,49.03998,0.07275
USA: NWSL Challenge Cup,2020,Houston Dash,49.43241,0.07195
