league,season,team,spi,win_forecast
USA: NWSL,2023,Portland Thorns,58.15674,0.1724
USA: NWSL,2023,North Carolina FC,56.22588,0.15875
USA: NWSL,2023,Seattle Reign FC,55.31437,0.13025
USA: NWSL,2023,Chicago Red Stars,52.84098,0.0958
USA: NWSL,2023,San Diego Wave FC,51.56493,0.0869
USA: NWSL,2023,Kansas City,51.11585,0.0824
USA: NWSL,2023,Washington Spirit,50.27364,0.0728
USA: NWSL,2023,Houston Dash,50.28147,0.0724
USA: NWSL,2023,Angel City FC,45.7701,0.041
USA: NWSL,2023,Racing Louisville FC,45.86635,0.0393
USA: NWSL,2023,Sky Blue FC,42.10259,0.0243
USA: NWSL,2023,Orlando Pride,42.13261,0.0237
USA: NWSL,2022,Seattle Reign FC,60.81844,0.1959
USA: NWSL,2022,Washington Spirit,60.35518,0.18255
USA: NWSL,2022,North Carolina FC,57.19196,0.14795
USA: NWSL,2022,Portland Thorns,57.16341,0.13555
USA: NWSL,2022,Chicago Red Stars,55.33979,0.1149
USA: NWSL,2022,Sky Blue FC,51.4452,0.07275
USA: NWSL,2022,Kansas City,45.76786,0.0349
USA: NWSL,2022,Houston Dash,45.71457,0.03335
USA: NWSL,2022,Racing Louisville FC,44.49772,0.03
USA: NWSL,2022,San Diego Wave FC,42.37938,0.0222
USA: NWSL,2022,Orlando Pride,41.21608,0.01785
USA: NWSL,2022,Angel City FC,38.24437,0.0121
USA: NWSL,2021,North Carolina FC,61.2516,0.2402
USA: NWSL,2021,Portland Thorns,54.46444,0.11575
USA: NWSL,2021,Chicago Red Stars,54.25069,0.1157
USA: NWSL,2021,Washington Spirit,54.00697,0.1145
USA: NWSL,2021,Seattle Reign FC,53.20763,0.0987
USA: NWSL,2021,Houston Dash,52.61185,0.096
USA: NWSL,2021,Sky Blue FC,50.86094,0.07485
USA: NWSL,2021,Racing Louisville FC,48.12337,0.0574
USA: NWSL,2021,Kansas City,47.18032,0.04775
USA: NWSL,2021,Orlando Pride,45.10443,0.03915
USA: NWSL,2020,North Carolina FC,66.88083,0.37195
USA: NWSL,2020,Chicago Red Stars,57.9175,0.12995
USA: NWSL,2020,Portland Thorns,56.4315,0.1091
USA: NWSL,2020,Washington Spirit,54.63723,0.09045
USA: NWSL,2020,Seattle Reign FC,54.3342,0.0885
USA: NWSL,2020,Utah Royals FC,53.60845,0.0864
USA: NWSL,2020,Houston Dash,49.4324,0.04745
USA: NWSL,2020,Sky Blue FC,49.04011,0.0468
USA: NWSL,2020,Orlando Pride,45.82549,0.0294
USA: NWSL,2019,North Carolina FC,68.37029,0.32515
USA: NWSL,2019,Portland Thorns,58.18496,0.1774
USA: NWSL,2019,Chicago Red Stars,56.83901,0.12045
USA: NWSL,2019,Seattle Reign FC,55.87585,0.11125
USA: NWSL,2019,Houston Dash,51.02699,0.0676
USA: NWSL,2019,Utah Royals FC,51.97841,0.06745
USA: NWSL,2019,Orlando Pride,49.29187,0.05205
USA: NWSL,2019,Washington Spirit,47.97048,0.0435
USA: NWSL,2019,Sky Blue FC,46.30486,0.03515
USA: NWSL,2018,Portland Thorns,54.08686,0.2357
USA: NWSL,2018,North Carolina FC,50.63302,0.16615
USA: NWSL,2018,Orlando Pride,48.98852,0.143
USA: NWSL,2018,Seattle Reign FC,47.10028,0.11095
USA: NWSL,2018,Chicago Red Stars,46.27473,0.1043
USA: NWSL,2018,Utah Royals FC,44.93544,0.09475
USA: NWSL,2018,Sky Blue FC,41.69324,0.058
USA: NWSL,2018,Houston Dash,40.05313,0.04955
USA: NWSL,2018,Washington Spirit,38.71883,0.0376
USA: NWSL,2017,North Carolina FC,,0.16814
USA: NWSL,2017,Portland Thorns,,0.15318
USA: NWSL,2017,Seattle Reign FC,,0.14836
USA: NWSL,2017,Chicago Red Stars,,0.12054
USA: NWSL,2017,FC Kansas City,,0.10854
USA: NWSL,2017,Washington Spirit,,0.10594
USA: NWSL,2017,Sky Blue FC,,0.07998
USA: NWSL,2017,Houston Dash,,0.07652
USA: NWSL,2017,Orlando Pride,,0.03436
USA: NWSL,2017,Boston Breakers,,0.00444
