league,season,team,spi,win_forecast
South Africa: Premier Division,2022,Mamelodi Sundowns,38.11315,0.5121
South Africa: Premier Division,2022,Orlando Pirates,25.60495,0.13005
South Africa: Premier Division,2022,Kaizer Chiefs,24.95767,0.1214
South Africa: Premier Division,2022,SuperSport United,21.35276,0.0613
South Africa: Premier Division,2022,Black Aces,20.05062,0.0556
South Africa: Premier Division,2022,Stellenbosch FC,16.57592,0.02955
South Africa: Premier Division,2022,AmaZulu,14.8639,0.02285
South Africa: Premier Division,2022,Golden Arrows,14.43938,0.01365
South Africa: Premier Division,2022,Sekhukhune United,12.389,0.00995
South Africa: Premier Division,2022,Maritzburg Utd,11.99033,0.0089
South Africa: Premier Division,2022,Tshakhuma Tsha Madzivhandila,11.46761,0.008
South Africa: Premier Division,2022,TS Galaxy,10.93797,0.0064
South Africa: Premier Division,2022,Royal AM,12.25999,0.0065
South Africa: Premier Division,2022,Chippa United,10.461,0.00555
South Africa: Premier Division,2022,Moroka Swallows,11.38959,0.0057
South Africa: Premier Division,2022,Richards Bay,9.87985,0.0025
South Africa: Premier Division,2021,Mamelodi Sundowns,25.88675,0.2351
South Africa: Premier Division,2021,Kaizer Chiefs,25.14128,0.19505
South Africa: Premier Division,2021,Orlando Pirates,23.58961,0.15775
South Africa: Premier Division,2021,SuperSport United,20.93459,0.11325
South Africa: Premier Division,2021,Maritzburg Utd,17.35698,0.0699
South Africa: Premier Division,2021,Black Aces,18.07038,0.0557
South Africa: Premier Division,2021,Bloem Celtic,17.00432,0.04025
South Africa: Premier Division,2021,Golden Arrows,13.41077,0.02495
South Africa: Premier Division,2021,Chippa United,11.39105,0.016
South Africa: Premier Division,2021,Moroka Swallows,12.9682,0.0155
South Africa: Premier Division,2021,Baroka FC,10.75319,0.01525
South Africa: Premier Division,2021,AmaZulu,11.19676,0.0157
South Africa: Premier Division,2021,Sekhukhune United,11.76072,0.01255
South Africa: Premier Division,2021,Tshakhuma Tsha Madzivhandila,11.76072,0.0118
South Africa: Premier Division,2021,TS Galaxy,11.76072,0.0104
South Africa: Premier Division,2021,Stellenbosch FC,10.55192,0.01085
South Africa: Premier Division,2019,Mamelodi Sundowns,41.17309,0.38645
South Africa: Premier Division,2019,Orlando Pirates,37.60593,0.2649
South Africa: Premier Division,2019,Bidvest Wits,32.9749,0.1083
South Africa: Premier Division,2019,Kaizer Chiefs,29.48817,0.0976
South Africa: Premier Division,2019,Black Aces,28.83051,0.05025
South Africa: Premier Division,2019,Polokwane City FC,21.13579,0.01905
South Africa: Premier Division,2019,Golden Arrows,19.00243,0.01275
South Africa: Premier Division,2019,SuperSport United,20.91846,0.01245
South Africa: Premier Division,2019,Highlands Park FC,21.85508,0.01235
South Africa: Premier Division,2019,Maritzburg Utd,19.95018,0.00855
South Africa: Premier Division,2019,Baroka FC,17.23014,0.0076
South Africa: Premier Division,2019,Bloem Celtic,20.22013,0.0094
South Africa: Premier Division,2019,Chippa United,17.11373,0.0052
South Africa: Premier Division,2019,AmaZulu,17.73658,0.0036
South Africa: Premier Division,2019,Black Leopards,13.77779,0.0014
South Africa: Premier Division,2019,Stellenbosch FC,9.75434,0.00015
South Africa: Premier Division,2018,Mamelodi Sundowns,48.9423,0.5471
South Africa: Premier Division,2018,Bidvest Wits,34.58678,0.1335
South Africa: Premier Division,2018,Orlando Pirates,35.49339,0.0846
South Africa: Premier Division,2018,Kaizer Chiefs,32.52091,0.0493
South Africa: Premier Division,2018,Golden Arrows,28.90979,0.04975
South Africa: Premier Division,2018,Black Aces,27.97816,0.04755
South Africa: Premier Division,2018,Maritzburg Utd,28.70094,0.0278
South Africa: Premier Division,2018,Bloem Celtic,22.54122,0.0151
South Africa: Premier Division,2018,AmaZulu,22.48668,0.0138
South Africa: Premier Division,2018,SuperSport United,23.26316,0.0102
South Africa: Premier Division,2018,Chippa United,22.57576,0.0081
South Africa: Premier Division,2018,Free State Stars,19.30761,0.00385
South Africa: Premier Division,2018,Polokwane City FC,20.39801,0.0033
South Africa: Premier Division,2018,Baroka FC,18.58289,0.0036
South Africa: Premier Division,2018,Highlands Park FC,15.7661,0.0016
South Africa: Premier Division,2018,Black Leopards,12.88032,0.00085
