league,season,team,spi,win_forecast
England: Premier League,2022,Manchester City,92.30938,0.4649
England: Premier League,2022,Liverpool,90.50601,0.29865
England: Premier League,2022,Chelsea,85.73436,0.1083
England: Premier League,2022,Tottenham Hotspur,81.87166,0.0506
England: Premier League,2022,Arsenal,78.53142,0.02475
England: Premier League,2022,Manchester United,75.24719,0.0132
England: Premier League,2022,Aston Villa,74.05358,0.00995
England: Premier League,2022,Brighton and Hove Albion,73.73685,0.00735
England: Premier League,2022,Leicester City,71.23603,0.00475
England: Premier League,2022,West Ham United,70.62399,0.00455
England: Premier League,2022,Crystal Palace,71.35718,0.00355
England: Premier League,2022,Brentford,68.58373,0.00285
England: Premier League,2022,Newcastle,68.6461,0.0022
England: Premier League,2022,Wolverhampton,67.71679,0.00195
England: Premier League,2022,Everton,63.81673,0.0007
England: Premier League,2022,Leeds United,62.15335,0.0005
England: Premier League,2022,Southampton,61.33244,0.00085
England: Premier League,2022,Fulham,58.70397,0.00015
England: Premier League,2022,AFC Bournemouth,57.91809,0.00015
England: Premier League,2022,Nottingham Forest,57.30616,0.0001
England: Premier League,2021,Manchester City,92.12502,0.40105
England: Premier League,2021,Liverpool,88.6996,0.20805
England: Premier League,2021,Chelsea,88.802,0.16435
England: Premier League,2021,Manchester United,85.72713,0.10055
England: Premier League,2021,Arsenal,81.18022,0.0332
England: Premier League,2021,Tottenham Hotspur,79.30157,0.03075
England: Premier League,2021,Leicester City,78.19471,0.02015
England: Premier League,2021,West Ham United,73.88539,0.0085
England: Premier League,2021,Brighton and Hove Albion,74.59496,0.00645
England: Premier League,2021,Aston Villa,72.78676,0.0067
England: Premier League,2021,Leeds United,72.58355,0.0056
England: Premier League,2021,Everton,73.44898,0.0061
England: Premier League,2021,Wolverhampton,70.87942,0.00225
England: Premier League,2021,Newcastle,67.2147,0.0019
England: Premier League,2021,Southampton,67.03964,0.0019
England: Premier League,2021,Burnley,65.29739,0.00065
England: Premier League,2021,Brentford,63.26307,0.00055
England: Premier League,2021,Crystal Palace,63.0125,0.00045
England: Premier League,2021,Norwich City,61.98781,0.0006
England: Premier League,2021,Watford,61.40379,0.00025
England: Premier League,2020,Manchester City,94.11285,0.5692
England: Premier League,2020,Liverpool,91.06966,0.2441
