league,season,team,spi,win_forecast
Portugal: Primeira Liga,2022,FC Porto,79.70775,0.3919
Portugal: Primeira Liga,2022,Sporting CP,79.06853,0.35095
Portugal: Primeira Liga,2022,Benfica,74.68569,0.204
Portugal: Primeira Liga,2022,Braga,60.69811,0.0232
Portugal: Primeira Liga,2022,Guimaraes,55.0796,0.0086
Portugal: Primeira Liga,2022,Famalicao,51.93885,0.0047
Portugal: Primeira Liga,2022,Gil Vicente,51.1576,0.00495
Portugal: Primeira Liga,2022,Santa Clara,48.16215,0.0025
Portugal: Primeira Liga,2022,Boavista,46.27762,0.0013
Portugal: Primeira Liga,2022,Portimonense,45.17288,0.00105
Portugal: Primeira Liga,2022,Vizela,44.96658,0.0009
Portugal: Primeira Liga,2022,Rio Ave,44.75089,0.00115
Portugal: Primeira Liga,2022,Maritimo,44.82116,0.00135
Portugal: Primeira Liga,2022,Chaves,44.28281,0.0009
Portugal: Primeira Liga,2022,Estoril Praia,43.95016,0.0006
Portugal: Primeira Liga,2022,FC Arouca,43.73752,0.00065
Portugal: Primeira Liga,2022,Pacos Ferreira,43.22781,0.00065
Portugal: Primeira Liga,2022,Casa Pia,41.78297,0.00065
Portugal: Primeira Liga,2021,FC Porto,78.3236,0.37835
Portugal: Primeira Liga,2021,Benfica,77.03187,0.34275
Portugal: Primeira Liga,2021,Sporting CP,74.00348,0.20965
Portugal: Primeira Liga,2021,Braga,63.05837,0.0454
Portugal: Primeira Liga,2021,Santa Clara,52.1678,0.00365
Portugal: Primeira Liga,2021,Portimonense,48.84412,0.0037
Portugal: Primeira Liga,2021,Gil Vicente,49.28374,0.00265
Portugal: Primeira Liga,2021,Pacos Ferreira,48.89629,0.0042
Portugal: Primeira Liga,2021,Guimaraes,50.88689,0.0026
Portugal: Primeira Liga,2021,Famalicao,48.67831,0.00165
Portugal: Primeira Liga,2021,Estoril Praia,45.42044,0.0018
Portugal: Primeira Liga,2021,Moreirense,46.03016,0.001
Portugal: Primeira Liga,2021,Tondela,42.83075,0.00075
Portugal: Primeira Liga,2021,Belenenses,44.43444,0.00055
Portugal: Primeira Liga,2021,Boavista,44.45924,0.00045
Portugal: Primeira Liga,2021,FC Arouca,42.87167,0.0002
Portugal: Primeira Liga,2021,Maritimo,42.38675,0.00035
Portugal: Primeira Liga,2021,Vizela,40.7369,0.0003
Portugal: Primeira Liga,2020,Benfica,74.98582,0.43775
Portugal: Primeira Liga,2020,FC Porto,74.8748,0.40315
Portugal: Primeira Liga,2020,Braga,60.49842,0.052
Portugal: Primeira Liga,2020,Sporting CP,59.78607,0.04415
Portugal: Primeira Liga,2020,Guimaraes,55.28631,0.01985
Portugal: Primeira Liga,2020,Rio Ave,53.44787,0.01745
Portugal: Primeira Liga,2020,Santa Clara,46.45034,0.0039
Portugal: Primeira Liga,2020,Famalicao,45.32918,0.0028
Portugal: Primeira Liga,2020,Portimonense,45.41393,0.00325
