league,season,team,spi,win_forecast
Greece: Super League,2022,Olympiacos,61.16293,0.61385
Greece: Super League,2022,PAOK Salonika,46.83014,0.13965
Greece: Super League,2022,Panathinaikos,44.53716,0.11035
Greece: Super League,2022,AEK Athens,42.93617,0.0872
Greece: Super League,2022,Aris Salonika,38.84491,0.033
Greece: Super League,2022,Ionikos FC,30.25537,0.0043
Greece: Super League,2022,Volos NFC,28.52669,0.00335
Greece: Super League,2022,Asteras Tripolis,26.41441,0.00315
Greece: Super League,2022,Giannina,26.0037,0.0008
Greece: Super League,2022,OFI Crete,26.09901,0.0022
Greece: Super League,2022,Atromitos,24.29999,0.0003
Greece: Super League,2022,Panetolikos,23.48398,0.00145
Greece: Super League,2022,Levadiakos,23.41731,0.0004
Greece: Super League,2022,Lamia,19.56801,0.00001
Greece: Super League,2021,Olympiacos,67.21162,0.6832
Greece: Super League,2021,PAOK Salonika,53.68094,0.17655
Greece: Super League,2021,AEK Athens,47.95461,0.07855
Greece: Super League,2021,Panathinaikos,39.57098,0.0274
Greece: Super League,2021,Aris Salonika,36.966,0.01385
Greece: Super League,2021,Asteras Tripolis,32.0578,0.0063
Greece: Super League,2021,Atromitos,31.48527,0.005
Greece: Super League,2021,OFI Crete,29.96299,0.0031
Greece: Super League,2021,Panetolikos,26.39945,0.00175
Greece: Super League,2021,Lamia,24.69005,0.00115
Greece: Super League,2021,Ionikos FC,25.44969,0.0009
Greece: Super League,2021,Apollon Smyrni,25.23946,0.0008
Greece: Super League,2021,Giannina,25.45658,0.0011
Greece: Super League,2021,Volos NFC,20.89009,0.00035
Greece: Super League,2019,Olympiacos,75.49151,0.6034
Greece: Super League,2019,PAOK Salonika,70.01476,0.34325
Greece: Super League,2019,AEK Athens,55.17606,0.04635
Greece: Super League,2019,Aris Salonika,44.41037,0.00325
Greece: Super League,2019,Atromitos,41.87407,0.0019
Greece: Super League,2019,Panathinaikos,38.27475,0.0012
Greece: Super League,2019,Asteras Tripolis,33.61292,0.00025
Greece: Super League,2019,OFI Crete,33.79457,0.0001
Greece: Super League,2019,Larissa,31.9317,0.00005
Greece: Super League,2019,Lamia,32.3048,0.0002
Greece: Super League,2019,FC Xanthi,28.74659,0.00001
Greece: Super League,2019,Panetolikos,28.19675,0.00001
Greece: Super League,2019,Volos NFC,27.9475,0.00005
Greece: Super League,2019,Panionios,26.97259,0.00001
Greece: Super League,2018,PAOK Salonika,74.56804,0.44095
Greece: Super League,2018,Olympiacos,68.40568,0.28075
Greece: Super League,2018,AEK Athens,65.97166,0.21635
Greece: Super League,2018,Atromitos,51.29237,0.02505
Greece: Super League,2018,Asteras Tripolis,50.06917,0.0195
Greece: Super League,2018,FC Xanthi,44.95312,0.0077
Greece: Super League,2018,Panathinaikos,46.76135,0.0022
Greece: Super League,2018,Panionios,41.14159,0.00245
Greece: Super League,2018,Giannina,39.54391,0.00175
Greece: Super League,2018,Apollon Smyrni,36.24876,0.00105
Greece: Super League,2018,Levadiakos,35.22231,0.00065
Greece: Super League,2018,Panetolikos,35.55919,0.0009
Greece: Super League,2018,Lamia,33.14591,0.00035
Greece: Super League,2018,Larissa,32.33649,0.0001
Greece: Super League,2018,Aris Salonika,33.14966,0.0002
Greece: Super League,2018,OFI Crete,32.21883,0.00005
