league,season,team,spi,win_forecast
Switzerland: Super League,2022,Young Boys,60.88013,0.6016
Switzerland: Super League,2022,Basel,48.2056,0.1343
Switzerland: Super League,2022,FC Zurich,48.50442,0.12385
Switzerland: Super League,2022,St Gallen,43.11788,0.05935
Switzerland: Super League,2022,FC Luzern,35.97507,0.0254
Switzerland: Super League,2022,Servette,32.59186,0.01695
Switzerland: Super League,2022,Grasshoppers Zürich,32.61069,0.01455
Switzerland: Super League,2022,FC Sion,31.1018,0.01305
Switzerland: Super League,2022,FC Lugano,31.59894,0.00845
Switzerland: Super League,2022,Winterthur,24.89236,0.0025
Switzerland: Super League,2021,Young Boys,63.7816,0.54795
Switzerland: Super League,2021,Basel,53.86492,0.32135
Switzerland: Super League,2021,FC Zurich,38.46188,0.05235
Switzerland: Super League,2021,St Gallen,38.36738,0.0246
Switzerland: Super League,2021,FC Luzern,38.93862,0.01745
Switzerland: Super League,2021,FC Sion,35.58683,0.01195
Switzerland: Super League,2021,FC Lugano,31.22713,0.0108
Switzerland: Super League,2021,Servette,33.26075,0.0081
Switzerland: Super League,2021,Grasshoppers Zürich,27.33756,0.0026
Switzerland: Super League,2021,Lausanne Sports,30.41555,0.00285
Switzerland: Super League,2020,Young Boys,69.42098,0.623
Switzerland: Super League,2020,Basel,62.38321,0.27915
Switzerland: Super League,2020,St Gallen,48.13036,0.03855
Switzerland: Super League,2020,FC Lugano,43.77791,0.01935
Switzerland: Super League,2020,Servette,41.48275,0.0137
Switzerland: Super League,2020,FC Luzern,40.78482,0.01185
Switzerland: Super League,2020,FC Sion,37.47735,0.0058
Switzerland: Super League,2020,Lausanne Sports,34.2759,0.00365
Switzerland: Super League,2020,FC Zurich,35.06849,0.00395
Switzerland: Super League,2020,FC Vaduz,30.19353,0.001
Switzerland: Super League,2019,Young Boys,70.84268,0.6326
Switzerland: Super League,2019,Basel,64.75652,0.3145
Switzerland: Super League,2019,FC Luzern,45.3452,0.0174
Switzerland: Super League,2019,FC Lugano,45.1703,0.0149
Switzerland: Super League,2019,St Gallen,40.78814,0.0091
Switzerland: Super League,2019,FC Sion,40.40518,0.0062
Switzerland: Super League,2019,Thun,37.39776,0.002
Switzerland: Super League,2019,Servette,33.44469,0.0014
Switzerland: Super League,2019,FC Zurich,34.87618,0.00095
Switzerland: Super League,2019,Neuchatel Xamax,33.54503,0.00095
Switzerland: Super League,2018,Young Boys,73.68411,0.77315
Switzerland: Super League,2018,Basel,64.65234,0.1498
Switzerland: Super League,2018,FC Sion,52.06886,0.03485
Switzerland: Super League,2018,FC Zurich,49.27214,0.0237
Switzerland: Super League,2018,FC Luzern,46.4887,0.0074
Switzerland: Super League,2018,St Gallen,40.12734,0.0044
Switzerland: Super League,2018,Thun,40.68198,0.00235
Switzerland: Super League,2018,FC Lugano,39.39699,0.00225
Switzerland: Super League,2018,Grasshoppers Zürich,39.75361,0.00135
Switzerland: Super League,2018,Neuchatel Xamax,33.49802,0.00075
Switzerland: Super League,2017,Young Boys,61.35153,0.43064
Switzerland: Super League,2017,Basel,63.60308,0.42624
Switzerland: Super League,2017,FC Zurich,45.16134,0.04968
Switzerland: Super League,2017,FC Sion,44.37192,0.03998
Switzerland: Super League,2017,FC Luzern,42.1873,0.01738
Switzerland: Super League,2017,St Gallen,39.08693,0.0148
Switzerland: Super League,2017,FC Lugano,39.81777,0.01078
Switzerland: Super League,2017,Thun,39.7111,0.00594
Switzerland: Super League,2017,Grasshoppers Zürich,35.38693,0.00282
Switzerland: Super League,2017,Lausanne Sports,32.76625,0.00174
