league,season,team,spi,win_forecast
Turkey: Süper Lig,2022,Fenerbahce,65.70319,0.4266
Turkey: Süper Lig,2022,Trabzonspor,58.3307,0.1909
Turkey: Süper Lig,2022,Besiktas,51.19592,0.0796
Turkey: Süper Lig,2022,Galatasaray,51.18236,0.0778
Turkey: Süper Lig,2022,Istanbul Basaksehir,47.92119,0.05025
Turkey: Süper Lig,2022,Kasimpasa,45.08675,0.03125
Turkey: Süper Lig,2022,Konyaspor,44.35966,0.0271
Turkey: Süper Lig,2022,Antalyaspor,43.38445,0.0252
Turkey: Süper Lig,2022,Alanyaspor,43.29342,0.02325
Turkey: Süper Lig,2022,Adana Demirspor,41.55632,0.0172
Turkey: Süper Lig,2022,Sivasspor,39.97617,0.01205
Turkey: Süper Lig,2022,Fatih Karagümrük,37.41366,0.0086
Turkey: Süper Lig,2022,Gazisehir Gaziantep,36.78755,0.0072
Turkey: Süper Lig,2022,Kayserispor,36.63077,0.0069
Turkey: Süper Lig,2022,Hatayspor,36.61263,0.0068
Turkey: Süper Lig,2022,Ankaragucu,33.05058,0.00335
Turkey: Süper Lig,2022,Giresunspor,32.5139,0.00315
Turkey: Süper Lig,2022,Istanbulspor,29.2431,0.00155
Turkey: Süper Lig,2022,Umraniyespor,28.81469,0.00125
Turkey: Süper Lig,2021,Galatasaray,60.18979,0.2658
Turkey: Süper Lig,2021,Besiktas,59.0861,0.2356
Turkey: Süper Lig,2021,Fenerbahce,57.71895,0.20565
Turkey: Süper Lig,2021,Trabzonspor,55.23212,0.15405
Turkey: Süper Lig,2021,Sivasspor,43.27873,0.0292
Turkey: Süper Lig,2021,Istanbul Basaksehir,41.64229,0.0213
Turkey: Süper Lig,2021,Alanyaspor,39.73542,0.0162
Turkey: Süper Lig,2021,Hatayspor,38.48974,0.01025
Turkey: Süper Lig,2021,Fatih Karagümrük,38.27514,0.01175
Turkey: Süper Lig,2021,Gazisehir Gaziantep,37.23887,0.01055
Turkey: Süper Lig,2021,Kasimpasa,36.06814,0.0072
Turkey: Süper Lig,2021,Konyaspor,35.81604,0.0079
Turkey: Süper Lig,2021,Goztepe,35.70878,0.0067
Turkey: Süper Lig,2021,Yeni Malatyaspor,33.66371,0.00535
Turkey: Süper Lig,2021,Antalyaspor,32.32274,0.0026
Turkey: Süper Lig,2021,Caykur Rizespor,31.76912,0.0028
Turkey: Süper Lig,2021,Kayserispor,30.54322,0.0026
Turkey: Süper Lig,2021,Adana Demirspor,29.87029,0.0022
Turkey: Süper Lig,2021,Giresunspor,28.18469,0.0012
Turkey: Süper Lig,2021,Altay,27.22656,0.0011
Turkey: Süper Lig,2020,Trabzonspor,62.4639,0.27955
Turkey: Süper Lig,2020,Besiktas,57.76099,0.24325
Turkey: Süper Lig,2020,Galatasaray,57.75982,0.15745
Turkey: Süper Lig,2020,Istanbul Basaksehir,58.88717,0.10205
Turkey: Süper Lig,2020,Fenerbahce,53.99155,0.09275
Turkey: Süper Lig,2020,Alanyaspor,49.16574,0.0455
Turkey: Süper Lig,2020,Sivasspor,45.58229,0.0214
Turkey: Süper Lig,2020,Kasimpasa,41.80324,0.0131
Turkey: Süper Lig,2020,Gazisehir Gaziantep,41.0779,0.01085
Turkey: Süper Lig,2020,Antalyaspor,38.3502,0.00535
Turkey: Süper Lig,2020,Goztepe,38.29512,0.00685
Turkey: Süper Lig,2020,Konyaspor,38.25765,0.0057
Turkey: Süper Lig,2020,Caykur Rizespor,35.79234,0.003
Turkey: Süper Lig,2020,Yeni Malatyaspor,35.13047,0.00255
Turkey: Süper Lig,2020,Hatayspor,33.28405,0.002
Turkey: Süper Lig,2020,Genclerbirligi,32.67086,0.00185
Turkey: Süper Lig,2020,Kayserispor,32.55901,0.0017
Turkey: Süper Lig,2020,Ankaragucu,31.54914,0.00115
Turkey: Süper Lig,2020,Erzurumspor,31.42483,0.0012
Turkey: Süper Lig,2020,Denizlispor,31.29567,0.00115
Turkey: Süper Lig,2020,Fatih Karagümrük,31.05814,0.0016
Turkey: Süper Lig,2019,Galatasaray,70.19834,0.48785
Turkey: Süper Lig,2019,Besiktas,62.89769,0.19505
Turkey: Süper Lig,2019,Trabzonspor,57.27451,0.0953
Turkey: Süper Lig,2019,Istanbul Basaksehir,56.88566,0.08835
Turkey: Süper Lig,2019,Fenerbahce,55.87671,0.07915
Turkey: Süper Lig,2019,Caykur Rizespor,44.48671,0.01245
Turkey: Süper Lig,2019,Konyaspor,42.81493,0.0088
Turkey: Süper Lig,2019,Goztepe,41.06633,0.00555
Turkey: Süper Lig,2019,Sivasspor,41.57334,0.00655
Turkey: Süper Lig,2019,Alanyaspor,41.00417,0.0059
Turkey: Süper Lig,2019,Yeni Malatyaspor,38.94042,0.00385
Turkey: Süper Lig,2019,Kasimpasa,37.51426,0.0027
Turkey: Süper Lig,2019,Kayserispor,35.69093,0.00235
Turkey: Süper Lig,2019,Ankaragucu,35.28786,0.00165
Turkey: Süper Lig,2019,Gazisehir Gaziantep,35.08502,0.00115
